
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.30000E-01    -30.4217    
  0.60000E-01    -60.8434    
  0.90000E-01    -91.2652    
  0.12000        -121.687    
  0.15000        -152.109    
  0.18000        -182.530    
  0.21000        -212.952    
  0.24000        -243.374    
  0.27000        -273.795    
  0.30000        -304.217    
  0.33000        -334.639    
  0.36000        -365.061    
  0.39000        -395.482    
  0.42000        -425.904    
  0.45000        -456.326    
  0.48000        -486.741    
  0.51000        -517.063    
  0.54000        -546.063    
  0.57000        -569.822    
  0.60000        -596.960    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.63000        -623.562    
  0.66000        -643.444    
  0.69000        -637.911    
  0.72000        -234.428    
  0.75000        -34.0966    
  0.78000        -26.1097    
  0.81000        -22.0774    
  0.84000        -19.4860    
  0.87000        -17.9232    
  0.90000        -16.9065    
  0.93000        -15.9199    
  0.96000        -15.5910    
  0.99000        -15.5540    
   1.0200        -15.3723    
   1.0500        -15.1672    
   1.0800        -15.0557    
   1.1100        -15.1269    
   1.1400        -14.9783    
   1.1700        -15.0481    
   1.2000        -15.2378    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   1.2300        -15.4550    
   1.2600        -15.6251    
   1.2900        -15.8041    
   1.3200        -16.0216    
   1.3500        -15.5322    
   1.3800        -15.4548    
   1.4100        -15.4710    
   1.4400        -15.5894    
   1.4700        -15.7987    
   1.5000        -15.7199    
   1.5300        -15.6808    
   1.5600        -15.5034    
   1.5900        -15.3871    
   1.6200        -15.1515    
   1.6500        -14.9772    
   1.6800        -15.0107    
   1.7100        -14.8780    
   1.7400        -14.1347    
   1.7700        -13.2311    
   1.8000        -12.9261    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   1.8300        -12.7093    
   1.8600        -12.6121    
   1.8900        -12.5739    
   1.9200        -12.5869    
   1.9500        -12.5444    
   1.9800        -12.6745    
   2.0100        -12.6486    
   2.0400        -12.8119    
   2.0700        -12.9184    
   2.1000        -13.0362    
   2.1300        -13.0600    
   2.1600        -13.1967    
   2.1900        -13.2287    
   2.2200        -13.3911    
   2.2500        -13.4943    
   2.2800        -13.0761    
   2.3100        -13.2295    
   2.3400        -12.1541    
   2.3700        -11.8404    
   2.4000        -11.5470    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   2.4300        -11.4068    
   2.4600        -11.5459    
   2.4900        -11.6484    
   2.5200        -11.7552    
   2.5500        -11.8525    
   2.5800        -11.9914    
   2.6100        -12.1307    
   2.6400        -12.2699    
   2.6700        -12.1346    
   2.7000        -11.8575    
   2.7300        -11.8600    
   2.7600        -11.8355    
   2.7900        -11.3314    
   2.8200        -11.3436    
   2.8500        -11.4444    
   2.8800        -11.5506    
   2.9100        -11.6613    
   2.9400        -11.7703    
   2.9700        -11.8871    
   3.0000        -11.9972    
