
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.15000E-01    -35.6236    
  0.30000E-01    -71.2473    
  0.45000E-01    -106.871    
  0.60000E-01    -142.495    
  0.75000E-01    -178.118    
  0.90000E-01    -213.742    
  0.10500        -249.365    
  0.12000        -284.989    
  0.13500        -320.613    
  0.15000        -356.236    
  0.16500        -391.860    
  0.18000        -427.484    
  0.19500        -463.107    
  0.21000        -498.731    
  0.22500        -534.354    
  0.24000        -569.978    
  0.25500        -605.602    
  0.27000        -641.225    
  0.28500        -676.849    
  0.30000        -712.473    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.31500        -748.096    
  0.33000        -783.720    
  0.34500        -819.344    
  0.36000        -854.967    
  0.37500        -890.591    
  0.39000        -926.214    
  0.40500        -961.837    
  0.42000        -997.458    
  0.43500        -1033.07    
  0.45000        -1068.69    
  0.46500        -1104.28    
  0.48000        -1139.85    
  0.49500        -1175.38    
  0.51000        -1210.80    
  0.52500        -1246.25    
  0.54000        -1281.73    
  0.55500        -1317.21    
  0.57000        -1352.64    
  0.58500        -1388.08    
  0.60000        -1423.55    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61500        -1459.02    
  0.63000        -1494.49    
  0.64500        -1529.90    
  0.66000        -1565.35    
  0.67500        -1600.81    
  0.69000        -1636.24    
  0.70500        -1671.67    
  0.72000        -1707.02    
  0.73500        -1742.31    
  0.75000        -1777.65    
  0.76500        -1813.02    
  0.78000        -1848.38    
  0.79500        -1883.84    
  0.81000        -1919.36    
  0.82500        -1954.87    
  0.84000        -1990.38    
  0.85500        -2025.85    
  0.87000        -2061.37    
  0.88500        -2096.89    
  0.90000        -2132.43    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.91500        -2167.97    
  0.93000        -2203.51    
  0.94500        -2239.05    
  0.96000        -2274.59    
  0.97500        -2310.13    
  0.99000        -2345.68    
   1.0050        -2381.22    
   1.0200        -2416.76    
   1.0350        -2452.30    
   1.0500        -2487.84    
   1.0650        -2523.38    
   1.0800        -2558.92    
   1.0950        -2594.46    
   1.1100        -2630.00    
   1.1250        -2665.54    
   1.1400        -2701.08    
   1.1550        -2736.62    
   1.1700        -2772.16    
   1.1850        -2807.70    
   1.2000        -2843.24    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   1.2150        -2878.77    
   1.2300        -2914.26    
   1.2450        -2949.72    
   1.2600        -2985.26    
   1.2750        -3020.80    
   1.2900        -3056.34    
   1.3050        -3091.88    
   1.3200        -3127.41    
   1.3350        -3162.95    
   1.3500        -3198.49    
   1.3650        -3234.03    
   1.3800        -3269.57    
   1.3950        -3305.11    
   1.4100        -3340.65    
   1.4250        -3374.75    
   1.4400        -3403.98    
   1.4550        -3156.41    
   1.4700        -12.5928    
   1.4850        -3.94656    
   1.5000       -0.763060E-05
