
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.30000E-01    -37.2713    
  0.60000E-01    -74.5427    
  0.90000E-01    -111.814    
  0.12000        -149.085    
  0.15000        -186.357    
  0.18000        -223.628    
  0.21000        -260.899    
  0.24000        -298.151    
  0.27000        -335.335    
  0.30000        -372.424    
  0.33000        -409.342    
  0.36000        -446.011    
  0.39000        -482.353    
  0.42000        -518.727    
  0.45000        -554.440    
  0.48000        -587.903    
  0.51000        -618.637    
  0.54000        -646.861    
  0.57000        -672.515    
  0.60000        -679.509    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.63000        -655.525    
  0.66000        -632.335    
  0.69000        -634.762    
  0.72000        -648.345    
  0.75000        -663.666    
  0.78000        -678.162    
  0.81000        -691.875    
  0.84000        -704.687    
  0.87000        -719.906    
  0.90000        -733.639    
  0.93000        -739.154    
  0.96000        -731.242    
  0.99000        -725.576    
   1.0200        -737.527    
   1.0500        -756.269    
   1.0800        -776.935    
   1.1100        -797.959    
   1.1400        -819.007    
   1.1700        -840.202    
   1.2000        -861.344    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   1.2300        -882.519    
   1.2600        -903.035    
   1.2900        -914.340    
   1.3200        -745.405    
   1.3500        -303.889    
   1.3800        -137.818    
   1.4100        -36.6232    
   1.4400        -26.8876    
   1.4700        -23.0562    
   1.5000        -19.7237    
   1.5300        -16.5050    
   1.5600        -15.2377    
   1.5900        -14.2408    
   1.6200        -10.0902    
   1.6500        -8.94665    
   1.6800        -7.02856    
   1.7100        -6.74858    
   1.7400        -6.68192    
   1.7700        -6.65302    
   1.8000        -6.53757    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   1.8300        -6.47168    
   1.8600        -6.42596    
   1.8900        -6.43439    
   1.9200        -6.44923    
   1.9500        -6.39120    
   1.9800        -4.79724    
   2.0100        -4.73146    
   2.0400        -4.62678    
   2.0700        -4.60976    
   2.1000        -4.56047    
   2.1300        -4.52692    
   2.1600        -4.51930    
   2.1900        -4.41153    
   2.2200        -4.34819    
   2.2500        -4.35670    
   2.2800        -4.25767    
   2.3100        -4.24250    
   2.3400        -4.07612    
   2.3700        -4.04973    
   2.4000        -4.01315    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   2.4300        -4.01513    
   2.4600        -3.97226    
   2.4900        -3.96817    
   2.5200        -3.80176    
   2.5500        -3.80253    
   2.5800        -3.82562    
   2.6100        -3.84447    
   2.6400        -3.86506    
   2.6700        -3.86545    
   2.7000        -3.88955    
   2.7300        -3.92061    
   2.7600        -3.93875    
   2.7900        -3.96180    
   2.8200        -3.95338    
   2.8500        -3.98605    
   2.8800        -4.02378    
   2.9100        -4.05280    
   2.9400        -4.04916    
   2.9700        -4.07289    
   3.0000        -4.05159    
