
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        350 FX      
                  FX      
  0.15000E-01    -10.8164    
  0.30000E-01    -21.6328    
  0.45000E-01    -32.4492    
  0.60000E-01    -43.2655    
  0.75000E-01    -54.0819    
  0.90000E-01    -64.8983    
  0.10500        -75.7147    
  0.12000        -86.5311    
  0.13500        -97.3475    
  0.15000        -108.164    
  0.16500        -118.980    
  0.18000        -129.797    
  0.19500        -140.613    
  0.21000        -151.429    
  0.22500        -162.246    
  0.24000        -173.062    
  0.25500        -183.879    
  0.27000        -194.695    
  0.28500        -205.511    
  0.30000        -216.328    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        350 FX      
                  FX      
  0.31500        -227.144    
  0.33000        -237.960    
  0.34500        -248.771    
  0.36000        -259.575    
  0.37500        -270.356    
  0.39000        -281.070    
  0.40500        -291.738    
  0.42000        -302.409    
  0.43500        -313.085    
  0.45000        -323.681    
  0.46500        -334.189    
  0.48000        -344.528    
  0.49500        -354.760    
  0.51000        -365.023    
  0.52500        -375.408    
  0.54000        -385.767    
  0.55500        -396.119    
  0.57000        -406.417    
  0.58500        -416.740    
  0.60000        -426.973    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        350 FX      
                  FX      
  0.61500        -437.284    
  0.63000        -447.391    
  0.64500        -457.479    
  0.66000        -467.612    
  0.67500        -477.784    
  0.69000        -487.778    
  0.70500        -497.785    
  0.72000        -507.764    
  0.73500        -517.618    
  0.75000        -527.108    
  0.76500        -536.337    
  0.78000        -545.633    
  0.79500        -555.081    
  0.81000        -564.567    
  0.82500        -574.079    
  0.84000        -583.508    
  0.85500        -592.976    
  0.87000        -602.377    
  0.88500        -611.535    
  0.90000        -620.769    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        350 FX      
                  FX      
  0.91500        -630.030    
  0.93000        -639.442    
  0.94500        -648.717    
  0.96000        -657.864    
  0.97500        -667.121    
  0.99000        -676.212    
   1.0050        -685.378    
   1.0200        -694.300    
   1.0350        -702.694    
   1.0500        -710.531    
   1.0650        -717.727    
   1.0800        -724.261    
   1.0950        -730.493    
   1.1100        -732.609    
   1.1250        -716.715    
   1.1400        -518.291    
   1.1550        -255.513    
   1.1700        -113.011    
   1.1850        -65.0877    
   1.2000        -60.6510    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        350 FX      
                  FX      
   1.2150        -53.5306    
   1.2300        -51.6604    
   1.2450        -51.6559    
   1.2600        -51.8958    
   1.2750        -52.1350    
   1.2900        -52.4372    
   1.3050        -52.7279    
   1.3200        -53.0364    
   1.3350        -53.3239    
   1.3500        -53.6140    
   1.3650        -53.8891    
   1.3800        -54.2710    
   1.3950        -54.6377    
   1.4100        -54.7280    
   1.4250        -53.1861    
   1.4400        -53.4880    
   1.4550        -53.8654    
   1.4700        -54.2793    
   1.4850        -54.6966    
   1.4925        -54.9200    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        350 FX      
                  FX      
   1.4962        -54.9860    
   1.4977        -54.9655    
   1.4989        -54.8493    
   1.5000        -54.7148    
