
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        559 FX      
                  FX      
  0.30000E-01    -44.7022    
  0.60000E-01    -89.4044    
  0.90000E-01    -134.107    
  0.12000        -178.809    
  0.15000        -223.505    
  0.18000        -268.165    
  0.21000        -312.755    
  0.24000        -357.173    
  0.27000        -401.373    
  0.30000        -444.895    
  0.33000        -487.928    
  0.36000        -530.772    
  0.39000        -573.142    
  0.42000        -615.257    
  0.45000        -656.535    
  0.48000        -696.421    
  0.51000        -733.317    
  0.54000        -766.728    
  0.57000        -797.451    
  0.60000        -821.752    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        559 FX      
                  FX      
  0.63000        -821.047    
  0.66000        -776.109    
  0.69000        -731.576    
  0.72000        -725.055    
  0.75000        -731.847    
  0.78000        -743.946    
  0.81000        -756.521    
  0.84000        -771.274    
  0.87000        -785.115    
  0.90000        -799.117    
  0.93000        -811.573    
  0.96000        -822.923    
  0.99000        -835.075    
   1.0200        -842.662    
   1.0500        -857.857    
   1.0800        -875.827    
   1.1100        -892.344    
   1.1400        -914.391    
   1.1700        -937.851    
   1.2000        -961.543    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        559 FX      
                  FX      
   1.2300        -985.149    
   1.2600        -1008.77    
   1.2900        -1032.19    
   1.3200        -1055.81    
   1.3500        -1079.19    
   1.3800        -964.391    
   1.4100        -252.190    
   1.4400        -179.104    
   1.4700        -180.062    
   1.5000        -180.796    
   1.5300        -181.571    
   1.5600        -176.932    
   1.5900        -171.236    
   1.6200        -168.183    
   1.6500        -167.968    
   1.6800        -167.669    
   1.7100        -161.371    
   1.7400        -121.317    
   1.7700        -110.197    
   1.8000        -77.1889    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        559 FX      
                  FX      
   1.8300        -51.4138    
   1.8600        -46.9860    
   1.8900        -43.2139    
   1.9200        -42.8545    
   1.9500        -43.0382    
   1.9800        -43.2041    
   2.0100        -43.5307    
   2.0400        -43.5553    
   2.0700        -43.6252    
   2.1000        -43.6635    
   2.1300        -43.3815    
   2.1600        -43.2249    
   2.1900        -43.4105    
   2.2200        -43.4958    
   2.2500        -43.9749    
   2.2800        -44.4820    
   2.3100        -44.9204    
   2.3400        -45.4026    
   2.3700        -45.8227    
   2.4000        -46.2781    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        559 FX      
                  FX      
   2.4300        -46.7688    
   2.4600        -47.2377    
   2.4900        -47.7281    
   2.5200        -48.2474    
   2.5500        -48.7703    
   2.5800        -48.3137    
   2.6100        -45.9723    
   2.6400        -46.1946    
   2.6700        -45.8462    
   2.7000        -46.0663    
   2.7300        -46.4401    
   2.7600        -46.7802    
   2.7900        -47.1890    
   2.8200        -47.6821    
   2.8500        -48.1815    
   2.8800        -48.5087    
   2.9100        -48.9547    
   2.9400        -49.3877    
   2.9700        -49.8501    
   3.0000        -41.4850    
