
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1222 FX      
                  FX      
  0.20000E-01    -29.2090    
  0.40000E-01    -58.4179    
  0.60000E-01    -87.6269    
  0.80000E-01    -116.836    
  0.10000        -146.045    
  0.12000        -175.254    
  0.14000        -204.458    
  0.16000        -233.642    
  0.18000        -262.782    
  0.20000        -291.815    
  0.22000        -320.737    
  0.24000        -349.415    
  0.26000        -377.746    
  0.28000        -405.968    
  0.30000        -433.936    
  0.32000        -461.838    
  0.34000        -489.339    
  0.36000        -516.639    
  0.38000        -543.596    
  0.40000        -570.231    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1222 FX      
                  FX      
  0.42000        -596.201    
  0.44000        -620.577    
  0.46000        -642.711    
  0.48000        -663.237    
  0.50000        -682.650    
  0.52000        -701.519    
  0.54000        -717.008    
  0.56000        -720.256    
  0.58000        -715.277    
  0.60000        -699.672    
  0.62000        -682.278    
  0.64000        -676.317    
  0.66000        -670.040    
  0.68000        -669.151    
  0.70000        -671.073    
  0.72000        -673.247    
  0.74000        -678.148    
  0.76000        -684.774    
  0.78000        -691.576    
  0.80000        -698.875    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1222 FX      
                  FX      
  0.82000        -707.235    
  0.84000        -715.347    
  0.86000        -723.840    
  0.88000        -733.100    
  0.90000        -741.731    
  0.92000        -749.424    
  0.94000        -757.825    
  0.96000        -765.514    
  0.98000        -775.783    
   1.0000        -786.749    
   1.0200        -795.705    
   1.0400        -805.278    
   1.0600        -813.562    
   1.0800        -824.768    
   1.1000        -836.838    
   1.1200        -850.487    
   1.1400        -864.895    
   1.1600        -879.582    
   1.1800        -894.376    
   1.2000        -909.141    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1222 FX      
                  FX      
   1.2200        -924.013    
   1.2400        -938.888    
   1.2600        -953.659    
   1.2800        -967.175    
   1.3000        -952.883    
   1.3200        -538.285    
   1.3400        -159.918    
   1.3600        -96.8451    
   1.3800        -67.8470    
   1.4000        -59.7189    
   1.4200        -54.4209    
   1.4400        -51.3452    
   1.4600        -49.4072    
   1.4800        -47.6203    
   1.5000        -43.7261    
   1.5200        -42.4159    
   1.5400        -41.9814    
   1.5600        -41.5368    
   1.5800        -41.3076    
   1.6000        -40.5690    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1222 FX      
                  FX      
   1.6200        -40.6618    
   1.6400        -40.6725    
   1.6600        -40.6753    
   1.6800        -40.7554    
   1.7000        -40.9689    
   1.7200        -41.1202    
   1.7400        -41.4178    
   1.7600        -41.6970    
   1.7800        -42.0131    
   1.8000        -42.2952    
   1.8200        -42.5889    
   1.8400        -42.9217    
   1.8600        -43.1758    
   1.8800        -43.3947    
   1.9000        -43.5847    
   1.9200        -43.8434    
   1.9400        -44.1101    
   1.9600        -44.3225    
   1.9800        -44.6088    
   1.9900        -44.7957    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1222 FX      
                  FX      
   1.9950        -44.8602    
   1.9970        -44.8506    
   1.9985        -44.6430    
   2.0000        -44.4836    
