
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         36 FX      
                  FX      
  0.20000E-01    -29.5334    
  0.40000E-01    -59.0669    
  0.60000E-01    -88.6003    
  0.80000E-01    -118.134    
  0.10000        -147.667    
  0.12000        -177.201    
  0.14000        -206.734    
  0.16000        -236.267    
  0.18000        -265.801    
  0.20000        -295.334    
  0.22000        -324.868    
  0.24000        -354.401    
  0.26000        -383.935    
  0.28000        -413.468    
  0.30000        -443.002    
  0.32000        -472.535    
  0.34000        -502.068    
  0.36000        -531.513    
  0.38000        -560.984    
  0.40000        -590.365    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         36 FX      
                  FX      
  0.42000        -619.638    
  0.44000        -647.913    
  0.46000        -674.189    
  0.48000        -695.284    
  0.50000        -711.709    
  0.52000        -732.048    
  0.54000        -753.426    
  0.56000        -772.558    
  0.58000        -782.272    
  0.60000        -768.227    
  0.62000        -742.632    
  0.64000        -725.169    
  0.66000        -730.371    
  0.68000        -733.622    
  0.70000        -737.523    
  0.72000        -739.740    
  0.74000        -741.577    
  0.76000        -745.747    
  0.78000        -750.218    
  0.80000        -757.302    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         36 FX      
                  FX      
  0.82000        -764.182    
  0.84000        -768.495    
  0.86000        -772.077    
  0.88000        -778.204    
  0.90000        -783.736    
  0.92000        -789.970    
  0.94000        -795.976    
  0.96000        -802.628    
  0.98000        -810.243    
   1.0000        -819.677    
   1.0200        -829.241    
   1.0400        -838.695    
   1.0600        -849.311    
   1.0800        -859.689    
   1.1000        -868.379    
   1.1200        -873.579    
   1.1400        -883.688    
   1.1600        -898.695    
   1.1800        -913.852    
   1.2000        -928.801    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         36 FX      
                  FX      
   1.2200        -943.531    
   1.2400        -958.442    
   1.2600        -973.448    
   1.2800        -987.468    
   1.3000        -982.445    
   1.3200        -634.060    
   1.3400        -149.497    
   1.3600        -99.1182    
   1.3800        -76.2485    
   1.4000        -63.3115    
   1.4200        -45.5903    
   1.4400        -37.0551    
   1.4600        -33.7511    
   1.4800        -33.5602    
   1.5000        -33.9585    
   1.5200        -34.2552    
   1.5400        -34.5355    
   1.5600        -34.9702    
   1.5800        -35.2878    
   1.6000        -35.7142    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         36 FX      
                  FX      
   1.6200        -36.1606    
   1.6400        -36.6071    
   1.6600        -36.1297    
   1.6800        -33.5155    
   1.7000        -33.8000    
   1.7200        -34.1977    
   1.7400        -34.5953    
   1.7600        -34.9566    
   1.7800        -35.1670    
   1.8000        -35.5622    
   1.8200        -35.9573    
   1.8400        -36.3525    
   1.8600        -36.7476    
   1.8800        -36.5486    
   1.9000        -35.9996    
   1.9200        -35.8941    
   1.9400        -36.1019    
   1.9600        -36.4231    
   1.9800        -36.7294    
   2.0000        -36.4836    
