
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.30000E-01    -60.6199    
  0.60000E-01    -121.240    
  0.90000E-01    -181.860    
  0.12000        -242.480    
  0.15000        -303.099    
  0.18000        -363.619    
  0.21000        -423.119    
  0.24000        -480.667    
  0.27000        -535.626    
  0.30000        -589.079    
  0.33000        -639.916    
  0.36000        -681.747    
  0.39000        -698.724    
  0.42000        -710.872    
  0.45000        -724.711    
  0.48000        -741.881    
  0.51000        -762.977    
  0.54000        -785.954    
  0.57000        -813.255    
  0.60000        -839.458    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.63000        -862.223    
  0.66000        -872.924    
  0.69000        -855.486    
  0.72000        -755.788    
  0.75000        -554.642    
  0.78000        -389.465    
  0.81000        -338.291    
  0.84000        -274.150    
  0.87000        -210.560    
  0.90000        -145.035    
  0.93000        -98.8843    
  0.96000        -89.0907    
  0.99000        -83.8124    
   1.0200        -80.2994    
   1.0500        -78.7245    
   1.0800        -77.9974    
   1.1100        -77.9703    
   1.1400        -78.8718    
   1.1700        -79.7551    
   1.2000        -79.4828    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   1.2300        -80.5050    
   1.2600        -81.2350    
   1.2900        -81.9827    
   1.3200        -82.4484    
   1.3500        -83.2098    
   1.3800        -84.3287    
   1.4100        -85.4229    
   1.4400        -86.7023    
   1.4700        -87.7342    
   1.5000        -88.1652    
   1.5300        -88.6835    
   1.5600        -89.1050    
   1.5900        -89.5144    
   1.6200        -89.5227    
   1.6500        -89.6231    
   1.6800        -90.3520    
   1.7100        -91.2202    
   1.7400        -92.0740    
   1.7700        -92.8901    
   1.8000        -93.5857    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   1.8300        -94.4128    
   1.8600        -95.0877    
   1.8900        -96.0077    
   1.9200        -96.7694    
   1.9500        -97.6710    
   1.9800        -98.6609    
   2.0100        -99.6193    
   2.0400        -100.622    
   2.0700        -101.613    
   2.1000        -102.269    
   2.1300        -103.202    
   2.1600        -104.285    
   2.1900        -105.328    
   2.2200        -106.139    
   2.2500        -106.981    
   2.2800        -107.756    
   2.3100        -108.588    
   2.3400        -109.213    
   2.3700        -109.344    
   2.4000        -109.216    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   2.4300        -109.790    
   2.4600        -110.422    
   2.4900        -110.285    
   2.5200        -110.947    
   2.5500        -111.308    
   2.5800        -111.134    
   2.6100        -111.118    
   2.6400        -111.367    
   2.6700        -111.654    
   2.7000        -111.813    
   2.7300        -112.555    
   2.7600        -113.173    
   2.7900        -113.796    
   2.8200        -114.468    
   2.8500        -114.813    
   2.8800        -113.707    
   2.9100        -113.592    
   2.9400        -113.091    
   2.9700        -113.363    
   2.9850        -113.725    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   2.9925        -113.775    
   2.9955        -113.612    
   2.9977        -112.956    
   3.0000        -112.340    
