
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        151 FX      
                  FX      
  0.30000E-01    -31.3478    
  0.60000E-01    -62.6957    
  0.90000E-01    -94.0435    
  0.12000        -125.391    
  0.15000        -156.739    
  0.18000        -188.087    
  0.21000        -219.435    
  0.24000        -250.783    
  0.27000        -282.131    
  0.30000        -313.478    
  0.33000        -344.826    
  0.36000        -376.173    
  0.39000        -407.519    
  0.42000        -438.861    
  0.45000        -470.174    
  0.48000        -501.436    
  0.51000        -532.585    
  0.54000        -562.994    
  0.57000        -589.387    
  0.60000        -615.556    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        151 FX      
                  FX      
  0.63000        -641.007    
  0.66000        -656.943    
  0.69000        -630.272    
  0.72000        -566.637    
  0.75000        -533.677    
  0.78000        -531.564    
  0.81000        -548.894    
  0.84000        -566.644    
  0.87000        -585.406    
  0.90000        -604.430    
  0.93000        -623.350    
  0.96000        -641.783    
  0.99000        -658.443    
   1.0200        -668.267    
   1.0500        -672.704    
   1.0800        -688.356    
   1.1100        -705.384    
   1.1400        -721.125    
   1.1700        -738.704    
   1.2000        -757.017    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        151 FX      
                  FX      
   1.2300        -775.250    
   1.2600        -793.971    
   1.2900        -812.745    
   1.3200        -831.547    
   1.3500        -850.338    
   1.3800        -868.968    
   1.4100        -884.957    
   1.4400        -806.086    
   1.4700        -181.646    
   1.5000        -18.5461    
   1.5300        -12.6641    
   1.5600        -10.3609    
   1.5900        -8.86276    
   1.6200        -8.36269    
   1.6500        -8.16570    
   1.6800        -7.87657    
   1.7100        -7.66613    
   1.7400        -7.58755    
   1.7700        -7.54753    
   1.8000        -7.58123    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        151 FX      
                  FX      
   1.8300        -7.54606    
   1.8600        -7.48872    
   1.8900        -7.45380    
   1.9200        -7.42862    
   1.9500        -7.35766    
   1.9800        -7.29024    
   2.0100        -7.21389    
   2.0400        -7.14874    
   2.0700        -7.11859    
   2.1000        -7.14612    
   2.1300        -7.18679    
   2.1600        -7.05090    
   2.1900        -6.99718    
   2.2200        -7.03583    
   2.2500        -7.05130    
   2.2800        -7.10040    
   2.3100        -7.12131    
   2.3400        -7.13806    
   2.3700        -7.18937    
   2.4000        -7.20945    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        151 FX      
                  FX      
   2.4300        -7.24136    
   2.4600        -7.26219    
   2.4900        -7.30738    
   2.5200        -7.32547    
   2.5500        -7.36052    
   2.5800        -7.40462    
   2.6100        -7.41738    
   2.6400        -7.41898    
   2.6700        -7.41062    
   2.7000        -7.46534    
   2.7300        -7.46735    
   2.7600        -7.43613    
   2.7900        -7.45512    
   2.8200        -7.35622    
   2.8500        -7.35007    
   2.8800        -6.83424    
   2.9100        -6.84438    
   2.9400        -6.76764    
   2.9700        -6.74460    
   2.9850        -6.76437    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        151 FX      
                  FX      
   2.9925        -6.76286    
   2.9955        -6.74689    
   2.9977        -6.67968    
   3.0000        -6.60908    
