
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.15000E-01    -15.6514    
  0.30000E-01    -31.3028    
  0.45000E-01    -46.9541    
  0.60000E-01    -62.6055    
  0.75000E-01    -78.2569    
  0.90000E-01    -93.9083    
  0.10500        -109.560    
  0.12000        -125.211    
  0.13500        -140.862    
  0.15000        -156.514    
  0.16500        -172.165    
  0.18000        -187.817    
  0.19500        -203.468    
  0.21000        -219.119    
  0.22500        -234.771    
  0.24000        -250.422    
  0.25500        -266.073    
  0.27000        -281.725    
  0.28500        -297.376    
  0.30000        -313.028    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.31500        -328.679    
  0.33000        -344.330    
  0.34500        -359.982    
  0.36000        -375.633    
  0.37500        -391.280    
  0.39000        -406.904    
  0.40500        -422.508    
  0.42000        -438.054    
  0.43500        -453.537    
  0.45000        -468.923    
  0.46500        -484.032    
  0.48000        -498.325    
  0.49500        -511.168    
  0.51000        -522.998    
  0.52500        -531.595    
  0.54000        -539.429    
  0.55500        -551.022    
  0.57000        -562.543    
  0.58500        -573.303    
  0.60000        -582.719    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.61500        -589.454    
  0.63000        -576.790    
  0.64500        -371.470    
  0.66000        -135.323    
  0.67500        -34.3098    
  0.69000        -29.4085    
  0.70500        -25.9158    
  0.72000        -23.4303    
  0.73500        -21.5763    
  0.75000        -19.9779    
  0.76500        -18.4278    
  0.78000        -17.7776    
  0.79500        -17.1526    
  0.81000        -16.6609    
  0.82500        -16.0688    
  0.84000        -15.5806    
  0.85500        -14.7405    
  0.87000        -14.1518    
  0.88500        -13.7154    
  0.90000        -13.2064    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.91500        -11.2914    
  0.93000        -10.1720    
  0.94500        -9.36747    
  0.96000        -8.65760    
  0.97500        -8.29288    
  0.99000        -8.14833    
   1.0050        -7.87492    
   1.0200        -7.40162    
   1.0350        -7.03954    
   1.0500        -7.14055    
   1.0650        -7.24256    
   1.0800        -7.34457    
   1.0950        -7.44658    
   1.1100        -7.54858    
   1.1250        -7.65059    
   1.1400        -7.73395    
   1.1550        -7.83571    
   1.1700        -7.93747    
   1.1850        -8.03923    
   1.2000        -8.14100    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   1.2150        -8.24276    
   1.2300        -8.34452    
   1.2450        -8.32987    
   1.2600        -8.41714    
   1.2750        -8.46329    
   1.2900        -8.56286    
   1.3050        -8.65002    
   1.3200        -8.70434    
   1.3350        -8.78125    
   1.3500        -8.83426    
   1.3650        -8.89227    
   1.3800        -8.98999    
   1.3950        -9.08771    
   1.4100        -9.18506    
   1.4250        -9.28277    
   1.4400        -9.38049    
   1.4550        -9.47820    
   1.4700        -9.57592    
   1.4850        -9.67363    
   1.5000        -9.33930    
