
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.15000E-01    -17.1438    
  0.30000E-01    -34.2877    
  0.45000E-01    -51.4315    
  0.60000E-01    -68.5753    
  0.75000E-01    -85.7192    
  0.90000E-01    -102.863    
  0.10500        -120.007    
  0.12000        -137.151    
  0.13500        -154.295    
  0.15000        -171.438    
  0.16500        -188.582    
  0.18000        -205.726    
  0.19500        -222.870    
  0.21000        -240.012    
  0.22500        -257.149    
  0.24000        -274.274    
  0.25500        -291.371    
  0.27000        -308.412    
  0.28500        -325.383    
  0.30000        -342.349    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.31500        -359.273    
  0.33000        -376.152    
  0.34500        -392.970    
  0.36000        -409.787    
  0.37500        -426.578    
  0.39000        -443.391    
  0.40500        -460.081    
  0.42000        -476.706    
  0.43500        -493.231    
  0.45000        -509.613    
  0.46500        -525.619    
  0.48000        -540.971    
  0.49500        -554.681    
  0.51000        -565.888    
  0.52500        -574.438    
  0.54000        -583.158    
  0.55500        -593.122    
  0.57000        -601.967    
  0.58500        -611.336    
  0.60000        -620.592    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.61500        -625.980    
  0.63000        -620.411    
  0.64500        -551.194    
  0.66000        -464.484    
  0.67500        -438.238    
  0.69000        -424.990    
  0.70500        -408.178    
  0.72000        -369.107    
  0.73500        -359.038    
  0.75000        -351.634    
  0.76500        -345.273    
  0.78000        -340.730    
  0.79500        -336.949    
  0.81000        -333.771    
  0.82500        -331.875    
  0.84000        -330.434    
  0.85500        -329.438    
  0.87000        -328.916    
  0.88500        -328.852    
  0.90000        -328.895    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.91500        -328.720    
  0.93000        -327.720    
  0.94500        -328.074    
  0.96000        -328.564    
  0.97500        -305.175    
  0.99000        -300.667    
   1.0050        -302.368    
   1.0200        -305.074    
   1.0350        -308.254    
   1.0500        -311.523    
   1.0650        -315.031    
   1.0800        -318.884    
   1.0950        -322.858    
   1.1100        -326.661    
   1.1250        -330.581    
   1.1400        -334.484    
   1.1550        -338.322    
   1.1700        -342.228    
   1.1850        -346.029    
   1.2000        -349.702    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   1.2150        -353.469    
   1.2300        -357.028    
   1.2450        -360.781    
   1.2600        -364.478    
   1.2750        -368.161    
   1.2900        -371.941    
   1.3050        -375.582    
   1.3200        -379.194    
   1.3350        -382.796    
   1.3500        -386.508    
   1.3650        -390.269    
   1.3800        -394.060    
   1.3950        -397.853    
   1.4100        -401.646    
   1.4250        -405.473    
   1.4400        -409.169    
   1.4550        -412.918    
   1.4700        -416.471    
   1.4850        -420.177    
   1.4925        -422.153    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   1.4962        -423.056    
   1.4977        -423.302    
   1.4989        -423.017    
   1.5000        -422.844    
