
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.15000E-01    -17.1438    
  0.30000E-01    -34.2877    
  0.45000E-01    -51.4315    
  0.60000E-01    -68.5753    
  0.75000E-01    -85.7192    
  0.90000E-01    -102.863    
  0.10500        -120.007    
  0.12000        -137.151    
  0.13500        -154.295    
  0.15000        -171.438    
  0.16500        -188.582    
  0.18000        -205.726    
  0.19500        -222.870    
  0.21000        -240.014    
  0.22500        -257.158    
  0.24000        -274.301    
  0.25500        -291.433    
  0.27000        -308.528    
  0.28500        -325.596    
  0.30000        -342.699    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.31500        -359.791    
  0.33000        -376.835    
  0.34500        -393.869    
  0.36000        -410.855    
  0.37500        -427.756    
  0.39000        -444.570    
  0.40500        -461.351    
  0.42000        -477.949    
  0.43500        -494.375    
  0.45000        -510.743    
  0.46500        -527.251    
  0.48000        -543.463    
  0.49500        -558.866    
  0.51000        -572.412    
  0.52500        -585.523    
  0.54000        -600.564    
  0.55500        -614.841    
  0.57000        -627.311    
  0.58500        -633.644    
  0.60000        -616.850    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.61500        -408.396    
  0.63000        -43.9097    
  0.64500        -2.81601    
  0.66000        -1.26543    
  0.67500       -0.993128    
  0.69000       -0.970974    
  0.70500       -0.992082    
  0.72000        -1.01319    
  0.73500        -1.03430    
  0.75000        -1.05304    
  0.76500        -1.07411    
  0.78000        -1.09517    
  0.79500        -1.11623    
  0.81000        -1.13621    
  0.82500        -1.15526    
  0.84000        -1.17626    
  0.85500        -1.19726    
  0.87000        -1.21827    
  0.88500        -1.23927    
  0.90000        -1.25786    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.91500        -1.25325    
  0.93000        -1.26775    
  0.94500        -1.24271    
  0.96000        -1.26029    
  0.97500        -1.25463    
  0.99000        -1.26516    
   1.0050        -1.28433    
   1.0200        -1.30350    
   1.0350        -1.31415    
   1.0500        -1.32198    
   1.0650        -1.33189    
   1.0800        -1.34687    
   1.0950        -1.36558    
   1.1100        -1.37701    
   1.1250        -1.39562    
   1.1400        -1.41423    
   1.1550        -1.42249    
   1.1700        -1.42854    
   1.1850        -1.44686    
   1.2000        -1.46517    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   1.2150        -1.48034    
   1.2300        -1.49862    
   1.2450        -1.51553    
   1.2600        -1.52471    
   1.2750        -1.54105    
   1.2900        -1.55290    
   1.3050        -1.56946    
   1.3200        -1.58356    
   1.3350        -1.59765    
   1.3500        -1.57820    
   1.3650        -1.59495    
   1.3800        -1.60388    
   1.3950        -1.61934    
   1.4100        -1.63595    
   1.4250        -1.65127    
   1.4400        -1.66865    
   1.4550        -1.68524    
   1.4700        -1.69685    
   1.4850        -1.71413    
   1.5000        -1.72986    
