
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.15000E-01    -10.9453    
  0.30000E-01    -21.8907    
  0.45000E-01    -32.8360    
  0.60000E-01    -43.7813    
  0.75000E-01    -54.7266    
  0.90000E-01    -65.6720    
  0.10500        -76.6173    
  0.12000        -87.5626    
  0.13500        -98.5080    
  0.15000        -109.453    
  0.16500        -120.399    
  0.18000        -131.344    
  0.19500        -142.289    
  0.21000        -153.235    
  0.22500        -164.180    
  0.24000        -175.125    
  0.25500        -186.069    
  0.27000        -197.005    
  0.28500        -207.925    
  0.30000        -218.824    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.31500        -229.709    
  0.33000        -240.515    
  0.34500        -251.338    
  0.36000        -262.123    
  0.37500        -272.903    
  0.39000        -283.581    
  0.40500        -294.249    
  0.42000        -304.826    
  0.43500        -315.389    
  0.45000        -325.955    
  0.46500        -336.583    
  0.48000        -347.088    
  0.49500        -357.599    
  0.51000        -368.096    
  0.52500        -378.565    
  0.54000        -388.876    
  0.55500        -399.276    
  0.57000        -409.610    
  0.58500        -419.935    
  0.60000        -430.221    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.61500        -440.497    
  0.63000        -450.732    
  0.64500        -460.918    
  0.66000        -470.998    
  0.67500        -481.181    
  0.69000        -491.336    
  0.70500        -501.461    
  0.72000        -511.603    
  0.73500        -521.727    
  0.75000        -531.786    
  0.76500        -541.812    
  0.78000        -551.952    
  0.79500        -561.951    
  0.81000        -571.878    
  0.82500        -581.234    
  0.84000        -590.793    
  0.85500        -600.508    
  0.87000        -610.263    
  0.88500        -620.070    
  0.90000        -629.910    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.91500        -639.673    
  0.93000        -649.498    
  0.94500        -659.062    
  0.96000        -668.748    
  0.97500        -678.468    
  0.99000        -688.138    
   1.0050        -697.900    
   1.0200        -707.469    
   1.0350        -716.941    
   1.0500        -725.643    
   1.0650        -732.464    
   1.0800        -732.509    
   1.0950        -683.345    
   1.1100        -369.454    
   1.1250        -175.030    
   1.1400        -16.1850    
   1.1550        -12.5913    
   1.1700        -10.5001    
   1.1850        -9.87535    
   1.2000        -9.19524    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   1.2150        -8.98616    
   1.2300        -8.92644    
   1.2450        -8.76365    
   1.2600        -8.54223    
   1.2750        -8.52099    
   1.2900        -8.45346    
   1.3050        -8.41648    
   1.3200        -8.46113    
   1.3350        -8.50343    
   1.3500        -8.44673    
   1.3650        -8.17215    
   1.3800        -8.00523    
   1.3950        -7.83352    
   1.4100        -7.84360    
   1.4250        -7.90463    
   1.4400        -7.97776    
   1.4550        -8.04187    
   1.4700        -8.11719    
   1.4850        -8.18408    
   1.5000        -8.23193    
