
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
  0.15000E-01    -15.9074    
  0.30000E-01    -31.8147    
  0.45000E-01    -47.7221    
  0.60000E-01    -63.6294    
  0.75000E-01    -79.5368    
  0.90000E-01    -95.4441    
  0.10500        -111.351    
  0.12000        -127.259    
  0.13500        -143.166    
  0.15000        -159.074    
  0.16500        -174.981    
  0.18000        -190.888    
  0.19500        -206.796    
  0.21000        -222.697    
  0.22500        -238.580    
  0.24000        -254.409    
  0.25500        -270.120    
  0.27000        -285.452    
  0.28500        -300.816    
  0.30000        -316.088    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
  0.31500        -331.134    
  0.33000        -345.831    
  0.34500        -360.685    
  0.36000        -375.201    
  0.37500        -389.646    
  0.39000        -404.075    
  0.40500        -418.203    
  0.42000        -432.094    
  0.43500        -446.047    
  0.45000        -459.545    
  0.46500        -472.870    
  0.48000        -486.109    
  0.49500        -499.256    
  0.51000        -512.378    
  0.52500        -525.302    
  0.54000        -538.090    
  0.55500        -550.819    
  0.57000        -563.476    
  0.58500        -576.169    
  0.60000        -588.505    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
  0.61500        -599.801    
  0.63000        -607.140    
  0.64500        -613.497    
  0.66000        -621.933    
  0.67500        -630.958    
  0.69000        -640.121    
  0.70500        -649.030    
  0.72000        -657.210    
  0.73500        -664.939    
  0.75000        -672.583    
  0.76500        -679.925    
  0.78000        -686.927    
  0.79500        -693.764    
  0.81000        -700.862    
  0.82500        -707.642    
  0.84000        -714.910    
  0.85500        -722.175    
  0.87000        -728.783    
  0.88500        -734.763    
  0.90000        -740.549    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
  0.91500        -745.488    
  0.93000        -748.505    
  0.94500        -742.997    
  0.96000        -649.147    
  0.97500        -396.265    
  0.99000        -356.045    
   1.0050        -333.190    
   1.0200        -305.177    
   1.0350        -282.262    
   1.0500        -266.146    
   1.0650        -234.392    
   1.0800        -181.580    
   1.0950        -155.967    
   1.1100        -141.478    
   1.1250        -139.183    
   1.1400        -138.791    
   1.1550        -139.403    
   1.1700        -140.280    
   1.1850        -141.516    
   1.2000        -142.730    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
   1.2150        -144.018    
   1.2300        -145.313    
   1.2450        -146.802    
   1.2600        -148.318    
   1.2750        -149.843    
   1.2900        -151.421    
   1.3050        -152.858    
   1.3200        -154.478    
   1.3350        -156.066    
   1.3500        -157.525    
   1.3650        -159.136    
   1.3800        -160.566    
   1.3950        -161.974    
   1.4100        -163.309    
   1.4250        -164.608    
   1.4400        -165.863    
   1.4550        -167.316    
   1.4700        -168.813    
   1.4850        -170.237    
   1.4925        -171.022    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
   1.4962        -171.356    
   1.4977        -171.423    
   1.4989        -171.092    
   1.5000        -170.905    
