
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        298 FX      
                  FX      
  0.15000E-01    -15.9147    
  0.30000E-01    -31.8294    
  0.45000E-01    -47.7441    
  0.60000E-01    -63.6588    
  0.75000E-01    -79.5735    
  0.90000E-01    -95.4882    
  0.10500        -111.403    
  0.12000        -127.318    
  0.13500        -143.232    
  0.15000        -159.147    
  0.16500        -175.062    
  0.18000        -190.976    
  0.19500        -206.891    
  0.21000        -222.806    
  0.22500        -238.721    
  0.24000        -254.635    
  0.25500        -270.550    
  0.27000        -286.465    
  0.28500        -302.379    
  0.30000        -318.294    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        298 FX      
                  FX      
  0.31500        -334.209    
  0.33000        -350.123    
  0.34500        -366.038    
  0.36000        -381.953    
  0.37500        -397.868    
  0.39000        -413.782    
  0.40500        -429.697    
  0.42000        -445.612    
  0.43500        -461.404    
  0.45000        -477.173    
  0.46500        -492.390    
  0.48000        -507.858    
  0.49500        -523.728    
  0.51000        -539.465    
  0.52500        -555.077    
  0.54000        -570.532    
  0.55500        -585.809    
  0.57000        -601.243    
  0.58500        -616.813    
  0.60000        -632.260    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        298 FX      
                  FX      
  0.61500        -648.066    
  0.63000        -663.873    
  0.64500        -679.679    
  0.66000        -695.486    
  0.67500        -711.187    
  0.69000        -726.905    
  0.70500        -742.545    
  0.72000        -757.631    
  0.73500        -772.236    
  0.75000        -785.115    
  0.76500        -792.596    
  0.78000        -770.949    
  0.79500        -616.822    
  0.81000        -318.177    
  0.82500        -52.8556    
  0.84000        -32.5873    
  0.85500        -26.4458    
  0.87000        -23.8115    
  0.88500        -22.3936    
  0.90000        -3.80012    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        298 FX      
                  FX      
  0.91500        -1.11841    
  0.93000        -1.13552    
  0.94500        -1.15383    
  0.96000        -1.17215    
  0.97500        -1.19046    
  0.99000        -1.20878    
   1.0050        -1.22709    
   1.0200        -1.24541    
   1.0350        -1.26372    
   1.0500        -1.28203    
   1.0650        -1.30035    
   1.0800        -1.31866    
   1.0950        -1.33698    
   1.1100        -1.35529    
   1.1250        -1.37361    
   1.1400        -1.39192    
   1.1550        -1.41024    
   1.1700        -1.42855    
   1.1850        -1.44687    
   1.2000        -1.46518    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        298 FX      
                  FX      
   1.2150        -1.48350    
   1.2300        -1.50181    
   1.2450        -1.52013    
   1.2600        -1.53844    
   1.2750        -1.55676    
   1.2900        -1.57507    
   1.3050        -1.59339    
   1.3200        -1.61170    
   1.3350        -1.63002    
   1.3500        -1.64833    
   1.3650        -1.66665    
   1.3800        -1.68496    
   1.3950        -1.70328    
   1.4100        -1.68098    
   1.4250        -1.68260    
   1.4400        -1.70031    
   1.4550        -1.71802    
   1.4700        -1.73491    
   1.4850        -1.19270    
   1.5000        -1.11168    
