
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3288 FX      
                  FX      
  0.15000E-01    -25.6490    
  0.30000E-01    -51.2980    
  0.45000E-01    -76.9470    
  0.60000E-01    -102.596    
  0.75000E-01    -128.245    
  0.90000E-01    -153.894    
  0.10500        -179.543    
  0.12000        -205.192    
  0.13500        -230.841    
  0.15000        -256.455    
  0.16500        -281.919    
  0.18000        -307.282    
  0.19500        -332.378    
  0.21000        -357.177    
  0.22500        -381.553    
  0.24000        -405.566    
  0.25500        -429.526    
  0.27000        -452.879    
  0.28500        -475.557    
  0.30000        -498.252    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3288 FX      
                  FX      
  0.31500        -520.559    
  0.33000        -542.337    
  0.34500        -563.559    
  0.36000        -583.617    
  0.37500        -602.417    
  0.39000        -620.365    
  0.40500        -637.390    
  0.42000        -653.800    
  0.43500        -669.312    
  0.45000        -684.720    
  0.46500        -698.296    
  0.48000        -707.846    
  0.49500        -705.099    
  0.51000        -666.531    
  0.52500        -579.586    
  0.54000        -519.882    
  0.55500        -447.046    
  0.57000        -356.328    
  0.58500        -194.897    
  0.60000        -31.6163    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3288 FX      
                  FX      
  0.61500        -19.5103    
  0.63000        -16.3404    
  0.64500        -15.4489    
  0.66000        -14.8078    
  0.67500        -13.6701    
  0.69000        -13.0036    
  0.70500        -12.4764    
  0.72000        -12.4126    
  0.73500        -12.1340    
  0.75000        -11.9954    
  0.76500        -11.9635    
  0.78000        -11.6652    
  0.79500        -11.6883    
  0.81000        -11.6466    
  0.82500        -11.5632    
  0.84000        -11.6021    
  0.85500        -11.4497    
  0.87000        -11.3280    
  0.88500        -11.2062    
  0.90000        -11.2069    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3288 FX      
                  FX      
  0.91500        -9.85515    
  0.93000        -9.49851    
  0.94500        -9.61210    
  0.96000        -9.51184    
  0.97500        -9.61104    
  0.99000        -9.72624    
   1.0050        -9.87361    
   1.0200        -9.86877    
   1.0350        -9.85995    
   1.0500        -10.0028    
   1.0650        -10.1392    
   1.0800        -10.2490    
   1.0950        -10.2284    
   1.1100        -10.3006    
   1.1250        -10.4398    
   1.1400        -10.5790    
   1.1550        -10.7181    
   1.1700        -10.8556    
   1.1850        -10.9948    
   1.2000        -11.1339    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3288 FX      
                  FX      
   1.2150        -11.2731    
   1.2300        -11.2234    
   1.2450        -11.3387    
   1.2600        -11.4620    
   1.2750        -11.3774    
   1.2900        -11.4635    
   1.3050        -11.5970    
   1.3200        -11.7303    
   1.3350        -11.8636    
   1.3500        -11.9969    
   1.3650        -12.1200    
   1.3800        -12.2509    
   1.3950        -12.3809    
   1.4100        -12.5141    
   1.4250        -12.6472    
   1.4400        -12.7803    
   1.4550        -12.9134    
   1.4700        -13.0379    
   1.4850        -13.1661    
   1.5000        -13.1590    
