STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR   14013 FX        FX         9.337       1.580       1670.      0.8400

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:42:57  FEB 14, 2022 CP=  28801.016

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   0.20000E-01   42.6734
   0.40000E-01   85.3468
   0.60000E-01   128.020
   0.80000E-01   170.694
   0.10000       213.367
   0.12000       256.040
   0.14000       298.714
   0.16000       341.387
   0.18000       384.061
   0.20000       426.734
   0.22000       469.407
   0.24000       512.073
   0.26000       554.737
   0.28000       597.409
   0.30000       640.071
   0.32000       682.701
   0.34000       725.281
   0.36000       767.799
   0.38000       810.305
   0.40000       852.722
   0.42000       894.827
   0.44000       936.806
   0.46000       978.335
   0.48000       1019.48
   0.50000       1060.08
   0.52000       1099.79
   0.54000       1137.76
   0.56000       1171.55
   0.58000       1207.43
   0.60000       1245.55
   0.62000       1284.44
   0.64000       1322.67
   0.66000       1361.19
   0.68000       1399.32
   0.70000       1437.01
   0.72000       1474.62
   0.74000       1511.59
   0.76000       1548.68
   0.78000       1585.99
   0.80000       1622.99
   0.82000       1655.42
   0.84000       1670.18
   0.86000       1634.53
   0.88000       1575.10
   0.90000       1512.37
   0.92000       1448.42
   0.94000       1384.69
   0.96000       1315.50
   0.98000       1222.68
    1.0000       973.248

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:42:57  FEB 14, 2022 CP=  28801.016

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.0200       749.602
    1.0400       513.385
    1.0600       176.087
    1.0800       27.7545
    1.1000       13.6507
    1.1200       12.0354
    1.1400       11.3176
    1.1600       11.1201
    1.1800       11.2196
    1.2000       10.7432
    1.2200       10.7399
    1.2400       10.8601
    1.2600       11.0295
    1.2800       11.1014
    1.3000       10.6895
    1.3200       10.6929
    1.3400       10.8167
    1.3600       10.7943
    1.3800       10.6805
    1.4000       10.5223
    1.4200       10.6380
    1.4400       10.5909
    1.4600       9.89076
    1.4800       9.77447
    1.5000       9.81285
    1.5200       9.67714
    1.5400       9.43363
    1.5600       9.45913
    1.5800       9.33718
    1.6000       9.44407
    1.6200       9.54634
    1.6400       9.54826
    1.6600       9.62609
    1.6800       9.64098
    1.7000       9.72373
    1.7200       9.83787
    1.7400       9.94152
    1.7600       10.0546
    1.7800       10.1609
    1.8000       10.0102
    1.8200       9.97921
    1.8400       9.70403
    1.8600       9.78848
    1.8800       9.77405
    1.9000       9.84916
    1.9200       9.82841
    1.9400       9.89418
    1.9600       9.97246
    1.9800       10.0720
    1.9900       10.1194

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:42:57  FEB 14, 2022 CP=  28801.016

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    2.0000       9.77612
