STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR     133 FX        FX         18.49       2.000       2371.       1.060

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   11:59:41  FEB 06, 2022 CP=   8159.406

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        133 FX
                  FX
   0.20000E-01   47.1072
   0.40000E-01   94.2145
   0.60000E-01   141.322
   0.80000E-01   188.429
   0.10000       235.536
   0.12000       282.643
   0.14000       329.751
   0.16000       376.858
   0.18000       423.965
   0.20000       471.072
   0.22000       518.180
   0.24000       565.281
   0.26000       612.383
   0.28000       659.489
   0.30000       706.577
   0.32000       753.682
   0.34000       800.764
   0.36000       847.816
   0.38000       894.863
   0.40000       941.848
   0.42000       988.726
   0.44000       1035.39
   0.46000       1081.88
   0.48000       1128.17
   0.50000       1174.07
   0.52000       1219.35
   0.54000       1263.28
   0.56000       1307.66
   0.58000       1351.10
   0.60000       1395.90
   0.62000       1441.07
   0.64000       1486.44
   0.66000       1531.95
   0.68000       1577.35
   0.70000       1623.06
   0.72000       1668.70
   0.74000       1714.14
   0.76000       1759.64
   0.78000       1804.91
   0.80000       1850.11
   0.82000       1895.48
   0.84000       1940.78
   0.86000       1986.14
   0.88000       2031.49
   0.90000       2076.39
   0.92000       2120.38
   0.94000       2162.92
   0.96000       2202.30
   0.98000       2239.23
    1.0000       2277.21

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   11:59:41  FEB 06, 2022 CP=   8159.406

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        133 FX
                  FX
    1.0200       2315.75
    1.0400       2350.75
    1.0600       2371.32
    1.0800       2349.92
    1.1000       2274.48
    1.1200       2151.33
    1.1400       1943.07
    1.1600       1583.48
    1.1800       1319.65
    1.2000       1040.70
    1.2200       757.090
    1.2400       599.627
    1.2600       504.742
    1.2800       417.261
    1.3000       324.806
    1.3200       244.536
    1.3400       187.386
    1.3600       156.450
    1.3800       141.693
    1.4000       133.974
    1.4200       128.651
    1.4400       125.867
    1.4600       124.202
    1.4800       121.588
    1.5000       118.375
    1.5200       108.110
    1.5400       81.3747
    1.5600       48.6659
    1.5800       24.4101
    1.6000       20.7330
    1.6200       20.1613
    1.6400       20.2108
    1.6600       20.2830
    1.6800       20.3716
    1.7000       20.1776
    1.7200       19.5957
    1.7400       19.4549
    1.7600       19.1172
    1.7800       19.1004
    1.8000       19.1378
    1.8200       19.0607
    1.8400       18.9399
    1.8600       19.0800
    1.8800       19.2226
    1.9000       19.3531
    1.9200       19.1696
    1.9400       19.0774
    1.9600       19.1654
    1.9800       19.0707
    1.9900       19.0539

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   11:59:41  FEB 06, 2022 CP=   8159.406

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        133 FX
                  FX
    2.0000       18.4865
