STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  2528 FX        FX         51.99     0.2000E-01  1021.     0.4800

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:07:23  OCT 13, 2021 CP=   2437.047

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2528 FX
                  FX
  0.20000E-01     51.9931
  0.40000E-01     103.986
  0.60000E-01     155.979
  0.80000E-01     207.973
  0.10000         259.966
  0.12000         311.903
  0.14000         363.734
  0.16000         415.206
  0.18000         466.558
  0.20000         517.656
  0.22000         567.844
  0.24000         614.007
  0.26000         659.126
  0.28000         701.097
  0.30000         742.145
  0.32000         783.042
  0.34000         820.469
  0.36000         855.579
  0.38000         890.310
  0.40000         924.829
  0.42000         957.587
  0.44000         988.375
  0.46000         1016.94
  0.48000         1021.38
  0.50000         925.996
  0.52000         830.474
  0.54000         736.517
  0.56000         654.629
  0.58000         447.289
  0.60000         451.523
  0.62000         464.093
  0.64000         478.102
  0.66000         491.921
  0.68000         505.886
  0.70000         519.810
  0.72000         533.795
  0.74000         546.990
  0.76000         560.966
  0.78000         575.341
  0.80000         589.548
  0.82000         603.063
  0.84000         616.598
  0.86000         629.724
  0.88000         643.187
  0.90000         656.528
  0.92000         669.233
  0.94000         682.319
  0.96000         692.732
  0.98000         705.011
   1.0000         716.823

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:07:23  OCT 13, 2021 CP=   2437.047

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2528 FX
                  FX
   1.0200         728.964
   1.0400         741.421
   1.0600         754.276
   1.0800         766.588
   1.1000         777.545
   1.1200         789.182
   1.1400         799.618
   1.1600         810.569
   1.1800         820.862
   1.2000         830.600
   1.2200         841.514
   1.2400         853.279
   1.2600         863.585
   1.2800         871.983
   1.3000         877.662
   1.3200         880.418
   1.3400         881.013
   1.3600         877.518
   1.3800         870.464
   1.4000         854.193
   1.4200         843.189
   1.4400         837.059
   1.4600         831.259
   1.4800         826.230
   1.5000         818.117
   1.5200         809.684
   1.5400         775.348
   1.5600         728.555
   1.5800         699.794
   1.6000         688.353
   1.6200         683.752
   1.6400         681.141
   1.6600         678.758
   1.6800         669.408
   1.7000         660.692
   1.7200         656.045
   1.7400         655.589
   1.7600         654.769
   1.7800         653.285
   1.8000         646.301
   1.8200         640.542
   1.8400         628.507
   1.8600         612.747
   1.8800         613.451
   1.9000         616.096
   1.9200         618.031
   1.9400         621.891
   1.9600         625.453
   1.9800         623.887
   1.9900         626.414

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:07:23  OCT 13, 2021 CP=   2437.047

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2528 FX
                  FX
   1.9950         627.274
   1.9970         627.112
   1.9985         623.332
   2.0000         622.787
