STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  4195 FX        FX         72.41     0.2000E-01  1246.     0.4200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   03:47:52  OCT 16, 2021 CP=   3722.438

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4195 FX
                  FX
  0.20000E-01     72.4083
  0.40000E-01     144.817
  0.60000E-01     217.225
  0.80000E-01     289.632
  0.10000         362.026
  0.12000         434.375
  0.14000         506.391
  0.16000         577.338
  0.18000         646.885
  0.20000         714.924
  0.22000         780.804
  0.24000         844.340
  0.26000         905.587
  0.28000         963.450
  0.30000         1015.88
  0.32000         1064.99
  0.34000         1112.34
  0.36000         1156.84
  0.38000         1198.17
  0.40000         1229.25
  0.42000         1245.76
  0.44000         1241.30
  0.46000         1182.13
  0.48000         1072.41
  0.50000         912.091
  0.52000         756.065
  0.54000         399.594
  0.56000         365.909
  0.58000         373.727
  0.60000         383.863
  0.62000         394.873
  0.64000         406.526
  0.66000         418.877
  0.68000         430.832
  0.70000         442.214
  0.72000         453.555
  0.74000         464.866
  0.76000         476.561
  0.78000         487.937
  0.80000         499.556
  0.82000         510.503
  0.84000         521.428
  0.86000         532.269
  0.88000         542.524
  0.90000         553.707
  0.92000         564.978
  0.94000         575.272
  0.96000         585.393
  0.98000         594.667
   1.0000         602.878

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   03:47:52  OCT 16, 2021 CP=   3722.453

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4195 FX
                  FX
   1.0200         610.861
   1.0400         618.214
   1.0600         622.934
   1.0800         623.379
   1.1000         620.601
   1.1200         615.747
   1.1400         603.855
   1.1600         587.949
   1.1800         575.836
   1.2000         564.107
   1.2200         554.798
   1.2400         545.780
   1.2600         540.605
   1.2800         540.927
   1.3000         540.165
   1.3200         536.797
   1.3400         539.262
   1.3600         544.590
   1.3800         549.916
   1.4000         548.292
   1.4200         550.598
   1.4400         551.771
   1.4600         556.960
   1.4800         562.525
   1.5000         567.290
   1.5200         570.860
   1.5400         572.072
   1.5600         577.882
   1.5800         580.099
   1.6000         580.083
   1.6200         579.056
   1.6400         577.761
   1.6600         582.591
   1.6800         588.510
   1.7000         594.488
   1.7200         598.896
   1.7400         604.620
   1.7600         609.317
   1.7800         614.185
   1.8000         618.851
   1.8200         623.301
   1.8400         626.462
   1.8600         628.265
   1.8800         629.271
   1.9000         631.967
   1.9200         635.909
   1.9400         640.603
   1.9600         643.474
   1.9800         634.701
   1.9890         635.583

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   03:47:52  OCT 16, 2021 CP=   3722.453

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4195 FX
                  FX
   1.9945         619.124
   1.9965         618.875
   1.9983         613.245
   2.0000         611.132
