STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR    5441 FX        FX         47.00     0.1500E-01  1128.     0.4050

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:27:12  NOV 06, 2021 CP=  22595.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5441 FX
                  FX
  0.15000E-01     47.0034
  0.30000E-01     94.0067
  0.45000E-01     141.010
  0.60000E-01     188.013
  0.75000E-01     235.017
  0.90000E-01     282.020
  0.10500         329.024
  0.12000         376.027
  0.13500         423.030
  0.15000         470.016
  0.16500         516.811
  0.18000         563.439
  0.19500         609.832
  0.21000         654.662
  0.22500         697.740
  0.24000         739.003
  0.25500         780.104
  0.27000         820.065
  0.28500         858.561
  0.30000         896.039
  0.31500         932.727
  0.33000         968.109
  0.34500         1002.83
  0.36000         1036.62
  0.37500         1070.08
  0.39000         1102.25
  0.40500         1128.05
  0.42000         1123.07
  0.43500         1080.07
  0.45000         1058.97
  0.46500         1044.50
  0.48000         1027.89
  0.49500         1002.59
  0.51000         934.972
  0.52500         783.442
  0.54000         481.500
  0.55500         389.797
  0.57000         390.233
  0.58500         395.418
  0.60000         402.048
  0.61500         409.531
  0.63000         417.567
  0.64500         425.640
  0.66000         434.111
  0.67500         442.493
  0.69000         451.186
  0.70500         459.665
  0.72000         468.079
  0.73500         476.239
  0.75000         484.230

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:27:12  NOV 06, 2021 CP=  22595.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5441 FX
                  FX
  0.76500         492.290
  0.78000         500.494
  0.79500         508.913
  0.81000         517.510
  0.82500         526.032
  0.84000         534.367
  0.85500         543.247
  0.87000         551.719
  0.88500         559.757
  0.90000         568.307
  0.91500         576.401
  0.93000         584.559
  0.94500         593.005
  0.96000         600.918
  0.97500         609.008
  0.99000         615.463
   1.0050         622.042
   1.0200         629.362
   1.0350         636.425
   1.0500         643.097
   1.0650         648.636
   1.0800         655.382
   1.0950         662.388
   1.1100         669.937
   1.1250         677.256
   1.1400         683.626
   1.1550         688.819
   1.1700         691.316
   1.1850         687.374
   1.2000         677.285
   1.2150         670.625
   1.2300         657.433
   1.2450         650.514
   1.2600         641.941
   1.2750         624.129
   1.2900         596.734
   1.3050         570.597
   1.3200         548.823
   1.3350         531.417
   1.3500         487.077
   1.3650         478.598
   1.3800         474.627
   1.3950         471.053
   1.4100         468.898
   1.4250         459.985
   1.4400         440.676
   1.4550         432.448
   1.4700         426.338
   1.4850         423.854
   1.4925         425.000

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:27:12  NOV 06, 2021 CP=  22595.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5441 FX
                  FX
   1.4959         424.827
   1.4979         419.317
   1.4994         419.127
   1.5000         415.227
