STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR   23542 FX        FX         44.20     0.1500E-01  926.8     0.4950

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   10:37:40  NOV 06, 2021 CP=  78432.484

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
  0.15000E-01     44.2030
  0.30000E-01     88.4060
  0.45000E-01     132.609
  0.60000E-01     176.812
  0.75000E-01     221.015
  0.90000E-01     265.216
  0.10500         309.396
  0.12000         353.475
  0.13500         397.439
  0.15000         441.211
  0.16500         484.711
  0.18000         527.880
  0.19500         570.818
  0.21000         613.424
  0.22500         654.793
  0.24000         694.673
  0.25500         733.340
  0.27000         769.324
  0.28500         793.653
  0.30000         800.446
  0.31500         800.668
  0.33000         808.017
  0.34500         816.493
  0.36000         828.330
  0.37500         843.332
  0.39000         858.161
  0.40500         871.828
  0.42000         884.333
  0.43500         896.830
  0.45000         908.577
  0.46500         916.626
  0.48000         922.902
  0.49500         926.757
  0.51000         925.832
  0.52500         896.881
  0.54000         751.867
  0.55500         494.903
  0.57000         380.453
  0.58500         300.771
  0.60000         170.550
  0.61500         160.987
  0.63000         158.191
  0.64500         158.283
  0.66000         159.693
  0.67500         161.501
  0.69000         163.933
  0.70500         166.254
  0.72000         168.917
  0.73500         171.516
  0.75000         174.285

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   10:37:40  NOV 06, 2021 CP=  78432.484

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
  0.76500         176.574
  0.78000         179.191
  0.79500         181.789
  0.81000         184.567
  0.82500         187.472
  0.84000         190.144
  0.85500         192.926
  0.87000         195.175
  0.88500         197.646
  0.90000         200.248
  0.91500         202.879
  0.93000         205.380
  0.94500         207.823
  0.96000         210.158
  0.97500         212.724
  0.99000         214.525
   1.0050         216.991
   1.0200         218.771
   1.0350         220.646
   1.0500         222.278
   1.0650         223.655
   1.0800         225.406
   1.0950         226.454
   1.1100         227.279
   1.1250         227.758
   1.1400         229.021
   1.1550         229.962
   1.1700         231.110
   1.1850         232.791
   1.2000         234.573
   1.2150         236.407
   1.2300         236.909
   1.2450         239.021
   1.2600         241.085
   1.2750         243.060
   1.2900         244.050
   1.3050         245.792
   1.3200         247.714
   1.3350         249.609
   1.3500         251.565
   1.3650         253.403
   1.3800         255.695
   1.3950         257.949
   1.4100         255.706
   1.4250         257.623
   1.4400         259.676
   1.4550         261.624
   1.4700         263.400
   1.4850         265.298
   1.4925         266.487

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   10:37:40  NOV 06, 2021 CP=  78432.484

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   1.4962         266.960
   1.4977         266.925
   1.4989         264.781
   1.5000         262.960
