STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR    4601 FX        FX         16.38      1.500      823.0     0.3750

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   21:03:02  NOV 08, 2021 CP=  23070.047

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4601 FX
                  FX
  0.15000E-01     36.9280
  0.30000E-01     73.8560
  0.45000E-01     110.784
  0.60000E-01     147.712
  0.75000E-01     184.640
  0.90000E-01     221.568
  0.10500         258.496
  0.12000         295.338
  0.13500         332.091
  0.15000         367.951
  0.16500         401.730
  0.18000         434.076
  0.19500         459.632
  0.21000         488.562
  0.22500         521.207
  0.24000         554.746
  0.25500         588.056
  0.27000         621.501
  0.28500         654.454
  0.30000         687.509
  0.31500         719.736
  0.33000         751.086
  0.34500         780.855
  0.36000         807.533
  0.37500         822.952
  0.39000         820.771
  0.40500         810.471
  0.42000         787.700
  0.43500         739.999
  0.45000         649.430
  0.46500         381.152
  0.48000         249.799
  0.49500         229.858
  0.51000         223.348
  0.52500         215.095
  0.54000         208.113
  0.55500         203.846
  0.57000         198.382
  0.58500         193.686
  0.60000         188.039
  0.61500         180.182
  0.63000         170.488
  0.64500         161.027
  0.66000         154.920
  0.67500         153.847
  0.69000         154.264
  0.70500         153.280
  0.72000         149.269
  0.73500         147.445
  0.75000         142.817

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   21:03:02  NOV 08, 2021 CP=  23070.047

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4601 FX
                  FX
  0.76500         135.634
  0.78000         128.992
  0.79500         121.764
  0.81000         112.736
  0.82500         104.157
  0.84000         96.7439
  0.85500         88.3325
  0.87000         80.7674
  0.88500         71.6637
  0.90000         61.8104
  0.91500         51.9290
  0.93000         40.8173
  0.94500         32.5152
  0.96000         27.0059
  0.97500         23.5858
  0.99000         21.9011
   1.0050         20.6594
   1.0200         19.6567
   1.0350         19.4126
   1.0500         19.1262
   1.0650         19.1523
   1.0800         19.1888
   1.0950         19.0553
   1.1100         19.0962
   1.1250         18.9359
   1.1400         18.5030
   1.1550         18.3817
   1.1700         18.3540
   1.1850         18.2348
   1.2000         17.9509
   1.2150         17.8694
   1.2300         17.7848
   1.2450         17.6690
   1.2600         17.4064
   1.2750         17.1586
   1.2900         17.1886
   1.3050         17.2548
   1.3200         17.1711
   1.3350         17.1436
   1.3500         17.1364
   1.3650         17.1500
   1.3800         17.1174
   1.3950         16.9168
   1.4100         16.7747
   1.4250         16.8195
   1.4400         16.8142
   1.4550         16.8685
   1.4700         16.9601
   1.4850         16.7598
   1.4925         16.7580

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   21:03:02  NOV 08, 2021 CP=  23070.047

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4601 FX
                  FX
   1.4962         16.7173
   1.4977         16.6796
   1.4989         16.5420
   1.5000         16.3823
