STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  2237 FX        FX         15.17      1.500      1023.     0.4350

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:35:24  NOV 13, 2021 CP=   5746.281

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
  0.15000E-01     39.4947
  0.30000E-01     78.9894
  0.45000E-01     118.484
  0.60000E-01     157.979
  0.75000E-01     197.473
  0.90000E-01     236.968
  0.10500         276.463
  0.12000         315.957
  0.13500         355.452
  0.15000         394.947
  0.16500         434.284
  0.18000         472.851
  0.19500         509.631
  0.21000         544.871
  0.22500         568.572
  0.24000         603.114
  0.25500         640.063
  0.27000         677.173
  0.28500         714.268
  0.30000         751.190
  0.31500         787.270
  0.33000         823.766
  0.34500         860.101
  0.36000         895.943
  0.37500         931.538
  0.39000         964.319
  0.40500         993.416
  0.42000         1017.25
  0.43500         1022.72
  0.45000         1010.53
  0.46500         990.524
  0.48000         963.459
  0.49500         881.204
  0.51000         512.779
  0.52500         502.844
  0.54000         504.662
  0.55500         508.155
  0.57000         505.187
  0.58500         495.187
  0.60000         477.086
  0.61500         446.390
  0.63000         425.453
  0.64500         419.469
  0.66000         421.722
  0.67500         426.296
  0.69000         430.084
  0.70500         434.646
  0.72000         440.388
  0.73500         445.403
  0.75000         450.051

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:35:24  NOV 13, 2021 CP=   5746.281

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
  0.76500         454.262
  0.78000         458.597
  0.79500         462.984
  0.81000         465.486
  0.82500         464.785
  0.84000         459.059
  0.85500         451.311
  0.87000         441.498
  0.88500         428.358
  0.90000         413.741
  0.91500         398.576
  0.93000         383.434
  0.94500         359.819
  0.96000         330.855
  0.97500         319.732
  0.99000         307.415
   1.0050         297.499
   1.0200         288.075
   1.0350         282.869
   1.0500         281.973
   1.0650         274.203
   1.0800         272.348
   1.0950         274.511
   1.1100         276.931
   1.1250         279.355
   1.1400         282.233
   1.1550         284.171
   1.1700         281.983
   1.1850         270.541
   1.2000         264.750
   1.2150         266.531
   1.2300         268.349
   1.2450         269.987
   1.2600         271.409
   1.2750         272.912
   1.2900         273.323
   1.3050         268.771
   1.3200         264.032
   1.3350         260.552
   1.3500         257.811
   1.3650         250.550
   1.3800         243.903
   1.3950         237.551
   1.4100         233.491
   1.4250         227.007
   1.4400         218.381
   1.4550         201.607
   1.4700         172.225
   1.4850         140.821
   1.4925         127.506

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:35:24  NOV 13, 2021 CP=   5746.281

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
   1.4962         110.382
   1.4977         88.1413
   1.4989         32.5938
   1.5000         15.1691
