STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  2237 FX        FX         33.60      1.500      2717.      1.110

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:37:21  NOV 13, 2021 CP=   4425.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
  0.15000E-01     39.4947
  0.30000E-01     78.9894
  0.45000E-01     118.484
  0.60000E-01     157.979
  0.75000E-01     197.473
  0.90000E-01     236.968
  0.10500         276.463
  0.12000         315.957
  0.13500         355.452
  0.15000         394.947
  0.16500         434.442
  0.18000         473.936
  0.19500         513.431
  0.21000         552.926
  0.22500         592.420
  0.24000         631.915
  0.25500         671.410
  0.27000         710.904
  0.28500         750.399
  0.30000         789.894
  0.31500         829.388
  0.33000         868.883
  0.34500         908.378
  0.36000         947.872
  0.37500         987.367
  0.39000         1026.86
  0.40500         1066.36
  0.42000         1105.85
  0.43500         1145.35
  0.45000         1184.84
  0.46500         1224.34
  0.48000         1263.83
  0.49500         1303.32
  0.51000         1342.82
  0.52500         1382.31
  0.54000         1421.81
  0.55500         1461.30
  0.57000         1500.80
  0.58500         1540.29
  0.60000         1579.79
  0.61500         1619.28
  0.63000         1658.78
  0.64500         1698.27
  0.66000         1737.77
  0.67500         1777.26
  0.69000         1816.76
  0.70500         1856.25
  0.72000         1895.74
  0.73500         1935.24
  0.75000         1974.73

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:37:21  NOV 13, 2021 CP=   4425.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
  0.76500         2014.23
  0.78000         2053.54
  0.79500         2092.23
  0.81000         2129.77
  0.82500         2163.42
  0.84000         2189.37
  0.85500         2218.92
  0.87000         2241.19
  0.88500         2266.05
  0.90000         2275.27
  0.91500         2309.59
  0.93000         2343.62
  0.94500         2379.97
  0.96000         2415.81
  0.97500         2451.93
  0.99000         2488.04
   1.0050         2524.19
   1.0200         2559.59
   1.0350         2595.23
   1.0500         2631.03
   1.0650         2662.95
   1.0800         2690.49
   1.0950         2713.33
   1.1100         2717.49
   1.1250         2694.82
   1.1400         2647.08
   1.1550         2497.21
   1.1700         1938.48
   1.1850         1632.73
   1.2000         1333.81
   1.2150         1143.71
   1.2300         947.093
   1.2450         675.271
   1.2600         375.617
   1.2750         273.735
   1.2900         182.571
   1.3050         77.5712
   1.3200         62.0348
   1.3350         54.3391
   1.3500         51.7048
   1.3650         45.4243
   1.3800         43.3287
   1.3950         37.5281
   1.4100         36.5597
   1.4250         35.3038
   1.4400         34.5777
   1.4550         34.1859
   1.4700         33.9921
   1.4850         34.0172
   1.4925         34.0888

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:37:21  NOV 13, 2021 CP=   4425.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
   1.5000         33.5979
