STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  1163 FX        FX         55.40     0.2000E-01  1162.     0.4800

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:43:21  OCT 15, 2021 CP=   2193.141

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1163 FX
                  FX
  0.20000E-01     55.3954
  0.40000E-01     110.791
  0.60000E-01     166.186
  0.80000E-01     221.582
  0.10000         276.977
  0.12000         332.372
  0.14000         387.768
  0.16000         443.163
  0.18000         498.508
  0.20000         553.597
  0.22000         608.196
  0.24000         661.712
  0.26000         711.475
  0.28000         761.988
  0.30000         807.515
  0.32000         852.957
  0.34000         897.524
  0.36000         940.492
  0.38000         981.773
  0.40000         1021.77
  0.42000         1060.42
  0.44000         1098.55
  0.46000         1135.05
  0.48000         1162.50
  0.50000         1143.05
  0.52000         1043.25
  0.54000         963.962
  0.56000         880.636
  0.58000         762.064
  0.60000         652.660
  0.62000         402.766
  0.64000         408.567
  0.66000         417.881
  0.68000         428.368
  0.70000         438.978
  0.72000         450.262
  0.74000         460.402
  0.76000         470.150
  0.78000         481.443
  0.80000         492.990
  0.82000         504.184
  0.84000         515.501
  0.86000         526.814
  0.88000         537.368
  0.90000         547.476
  0.92000         557.219
  0.94000         567.236
  0.96000         576.130
  0.98000         586.731
   1.0000         597.366

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:43:21  OCT 15, 2021 CP=   2193.141

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1163 FX
                  FX
   1.0200         608.039
   1.0400         618.760
   1.0600         629.548
   1.0800         639.525
   1.1000         647.037
   1.1200         654.444
   1.1400         661.836
   1.1600         668.485
   1.1800         669.807
   1.2000         664.901
   1.2200         648.801
   1.2400         605.656
   1.2600         549.284
   1.2800         498.553
   1.3000         472.829
   1.3200         452.442
   1.3400         360.091
   1.3600         315.521
   1.3800         312.418
   1.4000         313.787
   1.4200         316.884
   1.4400         319.947
   1.4600         323.490
   1.4800         327.109
   1.5000         330.463
   1.5200         334.402
   1.5400         338.296
   1.5600         342.082
   1.5800         346.196
   1.6000         350.320
   1.6200         354.476
   1.6400         358.535
   1.6600         362.469
   1.6800         366.268
   1.7000         369.020
   1.7200         372.377
   1.7400         375.803
   1.7600         379.346
   1.7800         383.057
   1.8000         386.294
   1.8200         388.941
   1.8400         392.086
   1.8600         395.518
   1.8800         399.135
   1.9000         402.634
   1.9200         406.348
   1.9400         409.516
   1.9600         412.455
   1.9800         415.917
   1.9900         417.873

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:43:21  OCT 15, 2021 CP=   2193.141

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1163 FX
                  FX
   1.9950         418.710
   1.9970         418.840
   1.9985         418.058
   2.0000         417.738
