STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  3949 FX        FX         69.49     0.2000E-01  1145.     0.3800

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:02:46  OCT 16, 2021 CP=   3891.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3949 FX
                  FX
  0.20000E-01     69.4898
  0.40000E-01     138.980
  0.60000E-01     208.469
  0.80000E-01     277.957
  0.10000         347.429
  0.12000         416.838
  0.14000         485.975
  0.16000         554.418
  0.18000         621.350
  0.20000         687.035
  0.22000         750.877
  0.24000         813.249
  0.26000         873.495
  0.28000         930.063
  0.30000         983.902
  0.32000         1034.11
  0.34000         1080.50
  0.36000         1125.05
  0.38000         1144.94
  0.40000         1097.16
  0.42000         988.927
  0.44000         805.991
  0.46000         568.852
  0.48000         295.670
  0.50000         230.019
  0.52000         233.119
  0.54000         239.993
  0.56000         247.094
  0.58000         254.657
  0.60000         263.098
  0.62000         271.231
  0.64000         279.702
  0.66000         288.158
  0.68000         296.593
  0.70000         304.834
  0.72000         312.943
  0.74000         320.790
  0.76000         328.624
  0.78000         335.881
  0.80000         343.598
  0.82000         351.409
  0.84000         359.396
  0.86000         366.747
  0.88000         373.772
  0.90000         381.384
  0.92000         389.021
  0.94000         396.312
  0.96000         404.000
  0.98000         411.581
   1.0000         418.283

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:02:46  OCT 16, 2021 CP=   3891.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3949 FX
                  FX
   1.0200         424.692
   1.0400         427.724
   1.0600         433.361
   1.0800         436.125
   1.1000         431.091
   1.1200         412.229
   1.1400         395.668
   1.1600         374.996
   1.1800         358.184
   1.2000         349.348
   1.2200         340.631
   1.2400         336.487
   1.2600         334.540
   1.2800         331.806
   1.3000         331.612
   1.3200         328.640
   1.3400         330.926
   1.3600         335.003
   1.3800         339.158
   1.4000         342.344
   1.4200         346.327
   1.4400         349.794
   1.4600         351.252
   1.4800         353.903
   1.5000         357.998
   1.5200         361.758
   1.5400         366.014
   1.5600         369.452
   1.5800         373.764
   1.6000         375.629
   1.6200         377.998
   1.6400         380.451
   1.6600         384.417
   1.6800         388.207
   1.7000         392.569
   1.7200         396.881
   1.7400         401.285
   1.7600         404.151
   1.7800         407.712
   1.8000         408.600
   1.8200         411.315
   1.8400         414.473
   1.8600         418.203
   1.8800         422.008
   1.9000         424.897
   1.9200         427.655
   1.9400         431.363
   1.9600         434.361
   1.9800         434.059
   1.9900         436.004

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:02:46  OCT 16, 2021 CP=   3891.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3949 FX
                  FX
   1.9950         436.824
   1.9970         436.956
   1.9985         435.592
   2.0000         432.522
