STORAGE COMPLETE FOR    201 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  3205 FX        FX         51.08     0.1500E-01  2211.     0.6750

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:12:10  NOV 17, 2021 CP=   9946.422

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3205 FX
                  FX
  0.15000E-01     51.0763
  0.30000E-01     102.153
  0.45000E-01     153.229
  0.60000E-01     204.305
  0.75000E-01     255.381
  0.90000E-01     306.458
  0.10500         357.534
  0.12000         408.610
  0.13500         459.686
  0.15000         510.763
  0.16500         561.839
  0.18000         612.915
  0.19500         663.991
  0.21000         715.068
  0.22500         766.144
  0.24000         817.220
  0.25500         868.296
  0.27000         919.373
  0.28500         970.449
  0.30000         1021.53
  0.31500         1072.60
  0.33000         1123.68
  0.34500         1174.75
  0.36000         1225.83
  0.37500         1276.91
  0.39000         1327.98
  0.40500         1379.06
  0.42000         1430.14
  0.43500         1481.21
  0.45000         1532.29
  0.46500         1583.36
  0.48000         1634.44
  0.49500         1684.58
  0.51000         1735.09
  0.52500         1785.36
  0.54000         1835.55
  0.55500         1886.54
  0.57000         1937.53
  0.58500         1985.99
  0.60000         2033.04
  0.61500         2077.86
  0.63000         2119.23
  0.64500         2158.66
  0.66000         2191.64
  0.67500         2210.82
  0.69000         2185.71
  0.70500         2093.22
  0.72000         2012.56
  0.73500         1947.04
  0.75000         1859.31

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:12:10  NOV 17, 2021 CP=   9946.422

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3205 FX
                  FX
  0.76500         1526.43
  0.78000         1079.77
  0.79500         939.025
  0.81000         625.405
  0.82500         331.631
  0.84000         217.565
  0.85500         166.354
  0.87000         144.446
  0.88500         129.881
  0.90000         127.465
  0.91500         128.103
  0.93000         129.305
  0.94500         131.170
  0.96000         132.964
  0.97500         134.307
  0.99000         135.691
   1.0050         137.040
   1.0200         138.852
   1.0350         140.672
   1.0500         141.987
   1.0650         143.372
   1.0800         145.314
   1.0950         146.739
   1.1100         148.342
   1.1250         150.091
   1.1400         150.214
   1.1550         148.945
   1.1700         149.985
   1.1850         150.465
   1.2000         151.897
   1.2150         153.385
   1.2300         155.008
   1.2450         155.261
   1.2600         154.686
   1.2750         150.106
   1.2900         136.344
   1.3050         99.8222
   1.3200         85.2858
   1.3350         75.9359
   1.3500         71.9595
   1.3650         68.4212
   1.3800         64.6031
   1.3950         63.1289
   1.4100         59.3465
   1.4250         56.8392
   1.4400         56.4089
   1.4550         55.8848
   1.4700         55.2530
   1.4850         55.2902
   1.4925         55.5392

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:12:10  NOV 17, 2021 CP=   9946.422

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3205 FX
                  FX
   1.5000         55.2334
   1.5100         55.2334
   1.5200         55.2334
   1.5300         55.2334
   1.5400         55.2334
   1.5500         55.2334
   1.5600         55.2334
   1.5700         55.2334
   1.5800         55.2334
   1.5900         55.2334
   1.6000         55.2334
   1.6100         55.2334
   1.6200         55.2334
   1.6300         55.2334
   1.6400         55.2334
   1.6500         55.2334
   1.6600         55.2334
   1.6700         55.2334
   1.6800         55.2334
   1.6900         55.2334
   1.7000         55.2334
   1.7100         55.2334
   1.7200         55.2334
   1.7300         55.2334
   1.7400         55.2334
   1.7500         55.2334
   1.7600         55.2334
   1.7700         55.2334
   1.7800         55.2334
   1.7900         55.2334
   1.8000         55.2334
   1.8100         55.2334
   1.8200         55.2334
   1.8300         55.2334
   1.8400         55.2334
   1.8500         55.2334
   1.8600         55.2334
   1.8700         55.2334
   1.8800         55.2334
   1.8900         55.2334
   1.9000         55.2334
   1.9100         55.2334
   1.9200         55.2334
   1.9300         55.2334
   1.9400         55.2334
   1.9500         55.2334
   1.9600         55.2334
   1.9700         55.2334
   1.9800         55.2334
   1.9900         55.2334

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:12:10  NOV 17, 2021 CP=   9946.422

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3205 FX
                  FX
   2.0000         55.2334
   2.0100         55.2334
   2.0200         55.2334
   2.0300         55.2334
   2.0400         55.2334
   2.0500         55.2334
   2.0600         55.2334
   2.0700         55.2334
   2.0800         55.2334
   2.0900         55.2334
   2.1000         55.2334
   2.1100         55.2334
   2.1200         55.2334
   2.1300         55.2334
   2.1400         55.2334
   2.1500         55.2334
   2.1600         55.2334
   2.1700         55.2334
   2.1800         55.2334
   2.1900         55.2334
   2.2000         55.2334
   2.2100         55.2334
   2.2200         55.2334
   2.2300         55.2334
   2.2400         55.2334
   2.2500         55.2334
   2.2600         55.2334
   2.2700         55.2334
   2.2800         55.2334
   2.2900         55.2334
   2.3000         55.2334
   2.3100         55.2334
   2.3200         55.2334
   2.3300         55.2334
   2.3400         55.2334
   2.3500         55.2334
   2.3600         55.2334
   2.3700         55.2334
   2.3800         55.2334
   2.3900         55.2334
   2.4000         55.2334
   2.4100         55.2334
   2.4200         55.2334
   2.4300         55.2334
   2.4400         55.2334
   2.4500         55.2334
   2.4600         55.2334
   2.4700         55.2334
   2.4800         55.2334
   2.4900         55.2334

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:12:10  NOV 17, 2021 CP=   9946.422

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3205 FX
                  FX
   2.5000         55.2334
