STORAGE COMPLETE FOR    200 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  2237 FX        FX         44.43      1.275      2898.     0.9450

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   04:04:01  NOV 18, 2021 CP=   6971.266

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
  0.15000E-01     46.2392
  0.30000E-01     92.4784
  0.45000E-01     138.718
  0.60000E-01     184.957
  0.75000E-01     231.196
  0.90000E-01     277.435
  0.10500         323.674
  0.12000         369.914
  0.13500         416.153
  0.15000         462.392
  0.16500         508.631
  0.18000         554.870
  0.19500         601.110
  0.21000         647.349
  0.22500         693.588
  0.24000         739.827
  0.25500         786.066
  0.27000         832.306
  0.28500         878.545
  0.30000         924.784
  0.31500         971.023
  0.33000         1017.26
  0.34500         1063.50
  0.36000         1109.74
  0.37500         1155.98
  0.39000         1202.22
  0.40500         1248.46
  0.42000         1294.70
  0.43500         1340.94
  0.45000         1387.18
  0.46500         1433.42
  0.48000         1479.65
  0.49500         1525.89
  0.51000         1572.13
  0.52500         1618.37
  0.54000         1664.61
  0.55500         1710.85
  0.57000         1757.09
  0.58500         1803.33
  0.60000         1849.57
  0.61500         1895.81
  0.63000         1942.05
  0.64500         1988.29
  0.66000         2034.52
  0.67500         2080.76
  0.69000         2127.00
  0.70500         2173.24
  0.72000         2219.48
  0.73500         2265.72
  0.75000         2311.96

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   04:04:01  NOV 18, 2021 CP=   6971.266

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
  0.76500         2358.20
  0.78000         2404.44
  0.79500         2450.68
  0.81000         2496.92
  0.82500         2543.16
  0.84000         2589.40
  0.85500         2635.63
  0.87000         2681.87
  0.88500         2728.11
  0.90000         2774.35
  0.91500         2820.57
  0.93000         2865.13
  0.94500         2897.80
  0.96000         2883.54
  0.97500         2830.29
  0.99000         2702.80
   1.0050         2419.96
   1.0200         1957.46
   1.0350         1720.84
   1.0500         1592.21
   1.0650         1484.52
   1.0800         1357.39
   1.0950         1189.14
   1.1100         880.614
   1.1250         622.660
   1.1400         517.854
   1.1550         473.221
   1.1700         441.753
   1.1850         408.143
   1.2000         372.140
   1.2150         307.799
   1.2300         122.757
   1.2450         54.4662
   1.2600         45.7969
   1.2750         44.4336
   1.2900         44.7629
   1.3050         45.2834
   1.3200         45.8039
   1.3350         46.3244
   1.3500         46.7176
   1.3650         47.2366
   1.3800         46.9196
   1.3950         47.3377
   1.4100         47.8239
   1.4250         48.3326
   1.4400         47.0491
   1.4550         46.1430
   1.4700         45.0857
   1.4850         45.0953
   1.5000         45.4771

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   04:04:01  NOV 18, 2021 CP=   6971.266

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
   1.5100         45.4771
   1.5200         45.4771
   1.5300         45.4771
   1.5400         45.4771
   1.5500         45.4771
   1.5600         45.4771
   1.5700         45.4771
   1.5800         45.4771
   1.5900         45.4771
   1.6000         45.4771
   1.6100         45.4771
   1.6200         45.4771
   1.6300         45.4771
   1.6400         45.4771
   1.6500         45.4771
   1.6600         45.4771
   1.6700         45.4771
   1.6800         45.4771
   1.6900         45.4771
   1.7000         45.4771
   1.7100         45.4771
   1.7200         45.4771
   1.7300         45.4771
   1.7400         45.4771
   1.7500         45.4771
   1.7600         45.4771
   1.7700         45.4771
   1.7800         45.4771
   1.7900         45.4771
   1.8000         45.4771
   1.8100         45.4771
   1.8200         45.4771
   1.8300         45.4771
   1.8400         45.4771
   1.8500         45.4771
   1.8600         45.4771
   1.8700         45.4771
   1.8800         45.4771
   1.8900         45.4771
   1.9000         45.4771
   1.9100         45.4771
   1.9200         45.4771
   1.9300         45.4771
   1.9400         45.4771
   1.9500         45.4771
   1.9600         45.4771
   1.9700         45.4771
   1.9800         45.4771
   1.9900         45.4771
   2.0000         45.4771

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   04:04:01  NOV 18, 2021 CP=   6971.266

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2237 FX
                  FX
   2.0100         45.4771
   2.0200         45.4771
   2.0300         45.4771
   2.0400         45.4771
   2.0500         45.4771
   2.0600         45.4771
   2.0700         45.4771
   2.0800         45.4771
   2.0900         45.4771
   2.1000         45.4771
   2.1100         45.4771
   2.1200         45.4771
   2.1300         45.4771
   2.1400         45.4771
   2.1500         45.4771
   2.1600         45.4771
   2.1700         45.4771
   2.1800         45.4771
   2.1900         45.4771
   2.2000         45.4771
   2.2100         45.4771
   2.2200         45.4771
   2.2300         45.4771
   2.2400         45.4771
   2.2500         45.4771
   2.2600         45.4771
   2.2700         45.4771
   2.2800         45.4771
   2.2900         45.4771
   2.3000         45.4771
   2.3100         45.4771
   2.3200         45.4771
   2.3300         45.4771
   2.3400         45.4771
   2.3500         45.4771
   2.3600         45.4771
   2.3700         45.4771
   2.3800         45.4771
   2.3900         45.4771
   2.4000         45.4771
   2.4100         45.4771
   2.4200         45.4771
   2.4300         45.4771
   2.4400         45.4771
   2.4500         45.4771
   2.4600         45.4771
   2.4700         45.4771
   2.4800         45.4771
   2.4900         45.4771
   2.5000         45.4771
