STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  2447 FX        FX         28.59      2.970      2489.     0.9600

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:58:49  NOV 20, 2021 CP=   4588.297

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2447 FX
                  FX
  0.30000E-01     83.2105
  0.60000E-01     166.421
  0.90000E-01     249.631
  0.12000         332.842
  0.15000         416.052
  0.18000         499.263
  0.21000         582.473
  0.24000         665.684
  0.27000         748.894
  0.30000         832.105
  0.33000         915.315
  0.36000         998.526
  0.39000         1081.74
  0.42000         1164.95
  0.45000         1248.16
  0.48000         1331.37
  0.51000         1414.58
  0.54000         1497.79
  0.57000         1581.00
  0.60000         1664.21
  0.63000         1747.42
  0.66000         1830.63
  0.69000         1913.84
  0.72000         1997.05
  0.75000         2079.64
  0.78000         2160.18
  0.81000         2237.97
  0.84000         2309.30
  0.87000         2375.87
  0.90000         2432.94
  0.93000         2475.68
  0.96000         2488.67
  0.99000         2453.65
   1.0200         2402.13
   1.0500         2263.76
   1.0800         1791.57
   1.1100         1164.75
   1.1400         1028.54
   1.1700         847.340
   1.2000         669.791
   1.2300         465.891
   1.2600         380.445
   1.2900         314.684
   1.3200         252.007
   1.3500         241.834
   1.3800         242.786
   1.4100         245.293
   1.4400         249.168
   1.4700         253.879
   1.5000         253.339

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:58:49  NOV 20, 2021 CP=   4588.297

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2447 FX
                  FX
   1.5300         242.147
   1.5600         210.209
   1.5900         163.276
   1.6200         104.781
   1.6500         63.0299
   1.6800         48.9916
   1.7100         44.0489
   1.7400         41.5983
   1.7700         39.7524
   1.8000         39.0270
   1.8300         38.8200
   1.8600         38.6785
   1.8900         38.5248
   1.9200         38.7938
   1.9500         39.2194
   1.9800         39.7313
   2.0100         39.4163
   2.0400         39.2632
   2.0700         39.6687
   2.1000         39.6054
   2.1300         39.4612
   2.1600         38.6846
   2.1900         38.0598
   2.2200         36.8483
   2.2500         36.0609
   2.2800         35.1862
   2.3100         35.2985
   2.3400         35.6771
   2.3700         36.0425
   2.4000         36.2918
   2.4300         35.1574
   2.4600         34.1977
   2.4900         32.4929
   2.5200         31.6020
   2.5500         31.6543
   2.5800         31.8769
   2.6100         31.4124
   2.6400         31.4202
   2.6700         31.3708
   2.7000         31.6669
   2.7300         31.9849
   2.7600         32.3346
   2.7900         31.0155
   2.8200         31.1091
   2.8500         31.3462
   2.8800         31.4891
   2.9100         31.6541
   2.9400         30.0125
   2.9700         28.5856
   2.9850         28.7289

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:58:49  NOV 20, 2021 CP=   4588.297

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2447 FX
                  FX
   3.0000         28.7415
