STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  1073 FX        FX         52.68     0.2000E-01  1005.     0.4200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:24:10  OCT 15, 2021 CP=   2243.750

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1073 FX
                  FX
  0.20000E-01     52.6755
  0.40000E-01     105.351
  0.60000E-01     158.026
  0.80000E-01     210.702
  0.10000         263.377
  0.12000         316.053
  0.14000         368.728
  0.16000         421.404
  0.18000         474.033
  0.20000         526.530
  0.22000         578.772
  0.24000         630.479
  0.26000         680.805
  0.28000         728.410
  0.30000         774.999
  0.32000         818.415
  0.34000         860.808
  0.36000         902.908
  0.38000         944.013
  0.40000         982.470
  0.42000         1005.48
  0.44000         936.760
  0.46000         895.720
  0.48000         858.395
  0.50000         834.333
  0.52000         798.174
  0.54000         734.358
  0.56000         517.737
  0.58000         381.890
  0.60000         340.013
  0.62000         249.030
  0.64000         244.370
  0.66000         250.919
  0.68000         256.999
  0.70000         263.488
  0.72000         269.806
  0.74000         275.849
  0.76000         282.924
  0.78000         290.050
  0.80000         296.059
  0.82000         301.599
  0.84000         306.984
  0.86000         313.254
  0.88000         319.874
  0.90000         326.702
  0.92000         333.857
  0.94000         340.951
  0.96000         347.955
  0.98000         354.668
   1.0000         361.451

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:24:10  OCT 15, 2021 CP=   2243.750

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1073 FX
                  FX
   1.0200         367.610
   1.0400         373.492
   1.0600         378.044
   1.0800         384.599
   1.1000         391.143
   1.1200         396.754
   1.1400         403.287
   1.1600         409.889
   1.1800         416.306
   1.2000         422.306
   1.2200         428.610
   1.2400         435.006
   1.2600         441.539
   1.2800         448.009
   1.3000         454.130
   1.3200         460.108
   1.3400         465.989
   1.3600         472.487
   1.3800         478.540
   1.4000         484.584
   1.4200         490.509
   1.4400         496.047
   1.4600         499.323
   1.4800         504.079
   1.5000         508.702
   1.5200         514.616
   1.5400         519.696
   1.5600         524.785
   1.5800         527.182
   1.6000         523.843
   1.6200         519.472
   1.6400         509.108
   1.6600         507.374
   1.6800         507.061
   1.7000         504.637
   1.7200         494.280
   1.7400         488.039
   1.7600         482.776
   1.7800         481.724
   1.8000         484.135
   1.8200         487.035
   1.8400         488.578
   1.8600         488.863
   1.8800         486.332
   1.9000         471.555
   1.9200         437.559
   1.9400         408.746
   1.9600         396.995
   1.9800         392.614
   1.9900         393.014

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:24:10  OCT 15, 2021 CP=   2243.750

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1073 FX
                  FX
   1.9945         391.797
   1.9973         372.797
   1.9993         371.253
   2.0000         356.322
