STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  3289 FX        FX         66.29     0.2000E-01  918.1     0.3200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:49:21  OCT 16, 2021 CP=   3561.719

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3289 FX
                  FX
  0.20000E-01     66.2869
  0.40000E-01     132.574
  0.60000E-01     198.861
  0.80000E-01     265.146
  0.10000         331.428
  0.12000         397.691
  0.14000         463.854
  0.16000         529.471
  0.18000         593.990
  0.20000         657.807
  0.22000         720.015
  0.24000         780.326
  0.26000         838.715
  0.28000         890.709
  0.30000         917.095
  0.32000         918.136
  0.34000         907.820
  0.36000         890.947
  0.38000         867.603
  0.40000         796.711
  0.42000         643.071
  0.44000         145.167
  0.46000         131.422
  0.48000         134.085
  0.50000         135.607
  0.52000         138.403
  0.54000         142.762
  0.56000         147.524
  0.58000         150.918
  0.60000         155.482
  0.62000         160.497
  0.64000         165.232
  0.66000         169.963
  0.68000         174.866
  0.70000         179.560
  0.72000         182.503
  0.74000         187.430
  0.76000         192.377
  0.78000         197.181
  0.80000         202.195
  0.82000         206.095
  0.84000         209.244
  0.86000         213.967
  0.88000         218.210
  0.90000         222.635
  0.92000         226.825
  0.94000         230.807
  0.96000         235.227
  0.98000         239.864
   1.0000         244.227

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:49:21  OCT 16, 2021 CP=   3561.719

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3289 FX
                  FX
   1.0200         248.732
   1.0400         252.747
   1.0600         255.719
   1.0800         259.788
   1.1000         263.747
   1.1200         268.031
   1.1400         271.499
   1.1600         274.046
   1.1800         276.245
   1.2000         279.697
   1.2200         281.554
   1.2400         283.084
   1.2600         285.202
   1.2800         288.742
   1.3000         293.005
   1.3200         296.984
   1.3400         300.890
   1.3600         305.042
   1.3800         309.394
   1.4000         313.386
   1.4200         316.788
   1.4400         320.703
   1.4600         323.607
   1.4800         324.900
   1.5000         321.008
   1.5200         312.940
   1.5400         300.875
   1.5600         300.501
   1.5800         302.803
   1.6000         305.624
   1.6200         308.069
   1.6400         310.367
   1.6600         311.925
   1.6800         308.261
   1.7000         303.995
   1.7200         294.588
   1.7400         292.260
   1.7600         291.546
   1.7800         291.943
   1.8000         292.855
   1.8200         293.787
   1.8400         296.545
   1.8600         299.222
   1.8800         302.096
   1.9000         304.404
   1.9200         305.844
   1.9400         305.955
   1.9600         307.827
   1.9800         309.138
   1.9900         310.183

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:49:21  OCT 16, 2021 CP=   3561.719

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       3289 FX
                  FX
   1.9950         310.173
   1.9970         309.361
   1.9985         297.426
   2.0000         284.406
