STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR     8 FX        FX         87.58      0.3000E-001  5430.       1.860

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   14:52:52  DEC 01, 2021 CP=   3233.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          8 FX
                  FX
   0.30000E-01   87.5814
   0.60000E-01   175.163
   0.90000E-01   262.744
   0.12000       350.325
   0.15000       437.907
   0.18000       525.488
   0.21000       613.070
   0.24000       700.651
   0.27000       788.232
   0.30000       875.814
   0.33000       963.395
   0.36000       1050.98
   0.39000       1138.56
   0.42000       1226.14
   0.45000       1313.72
   0.48000       1401.30
   0.51000       1488.88
   0.54000       1576.46
   0.57000       1664.05
   0.60000       1751.63
   0.63000       1839.21
   0.66000       1926.79
   0.69000       2014.37
   0.72000       2101.95
   0.75000       2189.53
   0.78000       2277.12
   0.81000       2364.70
   0.84000       2452.28
   0.87000       2539.86
   0.90000       2627.44
   0.93000       2715.02
   0.96000       2802.60
   0.99000       2890.18
    1.0200       2977.77
    1.0500       3065.35
    1.0800       3152.91
    1.1100       3240.46
    1.1400       3328.00
    1.1700       3415.58
    1.2000       3503.16
    1.2300       3590.74
    1.2600       3678.32
    1.2900       3765.90
    1.3200       3853.48
    1.3500       3941.06
    1.3800       4028.63
    1.4100       4116.20
    1.4400       4203.74
    1.4700       4291.29
    1.5000       4378.87

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   14:52:52  DEC 01, 2021 CP=   3233.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          8 FX
                  FX
    1.5300       4466.45
    1.5600       4554.02
    1.5900       4641.60
    1.6200       4729.18
    1.6500       4816.76
    1.6800       4904.33
    1.7100       4991.91
    1.7400       5079.49
    1.7700       5167.07
    1.8000       5254.64
    1.8300       5342.22
    1.8600       5429.80
    1.8900       1438.82
    1.9200       1462.49
    1.9500       1483.85
    1.9800       1506.41
    2.0100       1529.23
    2.0400       1552.05
    2.0700       1574.87
    2.1000       1597.68
    2.1300       1620.37
    2.1600       1643.19
    2.1900       1666.01
    2.2200       1688.83
    2.2500       1711.66
    2.2800       1734.48
    2.3100       1757.30
    2.3400       1780.12
    2.3700       1802.93
    2.4000       1825.74
    2.4300       1848.55
    2.4600       1871.35
    2.4900       1894.15
    2.5200       1916.96
    2.5500       1939.75
    2.5800       1962.55
    2.6100       1985.35
    2.6400       2008.17
    2.6700       2030.99
    2.7000       2053.81
    2.7300       2076.63
    2.7600       2099.45
    2.7900       2122.23
    2.8200       2145.00
    2.8500       2167.77
    2.8800       2190.38
    2.9100       2212.47
    2.9400       2231.40
    2.9700       2242.04
    2.9835       2243.06

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   14:52:52  DEC 01, 2021 CP=   3233.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          8 FX
                  FX
    2.9917       2197.14
    2.9947       2155.44
    2.9974       1678.37
    3.0000       608.790
