STORAGE COMPLETE FOR    102 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  1694 FX        FX         14.82      3.000      2044.      1.650

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:05:47  NOV 29, 2021 CP=   8087.875

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1694 FX
                  FX
  0.30000E-01     40.3576
  0.60000E-01     80.7151
  0.90000E-01     121.073
  0.12000         161.430
  0.15000         201.788
  0.18000         242.145
  0.21000         282.503
  0.24000         322.861
  0.27000         363.218
  0.30000         403.576
  0.33000         443.933
  0.36000         484.291
  0.39000         524.648
  0.42000         565.006
  0.45000         605.364
  0.48000         645.721
  0.51000         686.079
  0.54000         726.436
  0.57000         766.794
  0.60000         807.073
  0.63000         847.338
  0.66000         887.595
  0.69000         927.928
  0.72000         968.189
  0.75000         1008.23
  0.78000         1047.83
  0.81000         1086.91
  0.84000         1123.68
  0.87000         1156.18
  0.90000         1192.30
  0.93000         1229.44
  0.96000         1267.78
  0.99000         1305.62
   1.0200         1343.65
   1.0500         1381.37
   1.0800         1418.58
   1.1100         1456.15
   1.1400         1494.21
   1.1700         1531.57
   1.2000         1569.10
   1.2300         1606.94
   1.2600         1644.72
   1.2900         1682.58
   1.3200         1720.78
   1.3500         1758.85
   1.3800         1796.36
   1.4100         1833.38
   1.4400         1870.18
   1.4700         1906.30
   1.5000         1940.58

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:05:47  NOV 29, 2021 CP=   8087.875

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1694 FX
                  FX
   1.5300         1972.23
   1.5600         1999.61
   1.5900         2024.15
   1.6200         2036.33
   1.6500         2043.56
   1.6800         2038.65
   1.7100         2007.49
   1.7400         1728.84
   1.7700         1430.18
   1.8000         963.503
   1.8300         500.029
   1.8600         355.228
   1.8900         125.649
   1.9200         75.0943
   1.9500         58.5032
   1.9800         50.7076
   2.0100         45.2935
   2.0400         42.6346
   2.0700         39.6994
   2.1000         38.2536
   2.1300         35.3031
   2.1600         32.8149
   2.1900         30.6281
   2.2200         29.7904
   2.2500         28.9331
   2.2800         28.1712
   2.3100         26.6691
   2.3400         26.3427
   2.3700         25.5411
   2.4000         24.9768
   2.4300         25.0303
   2.4600         24.5969
   2.4900         24.3787
   2.5200         24.2690
   2.5500         24.0307
   2.5800         22.7415
   2.6100         22.4522
   2.6400         21.8136
   2.6700         21.0078
   2.7000         20.5278
   2.7300         20.3718
   2.7600         20.1817
   2.7900         19.8758
   2.8200         18.7550
   2.8500         17.4527
   2.8800         16.6736
   2.9100         16.3184
   2.9400         16.1973
   2.9700         15.6900
   2.9850         15.6258

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   00:05:47  NOV 29, 2021 CP=   8087.875

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1694 FX
                  FX
   2.9925         15.5466
   3.0000         14.8155
