STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  2447 FX        FX         32.17      2.910      2289.      1.110

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   22:04:52  NOV 26, 2021 CP=   5481.250

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2447 FX
                  FX
  0.30000E-01     72.9195
  0.60000E-01     145.839
  0.90000E-01     218.759
  0.12000         291.678
  0.15000         364.598
  0.18000         437.517
  0.21000         510.437
  0.24000         583.356
  0.27000         656.276
  0.30000         729.195
  0.33000         802.115
  0.36000         875.034
  0.39000         947.954
  0.42000         1020.87
  0.45000         1093.79
  0.48000         1166.71
  0.51000         1239.63
  0.54000         1312.55
  0.57000         1385.47
  0.60000         1458.39
  0.63000         1531.31
  0.66000         1604.23
  0.69000         1677.15
  0.72000         1750.07
  0.75000         1822.27
  0.78000         1890.96
  0.81000         1952.44
  0.84000         2008.94
  0.87000         2046.12
  0.90000         2078.00
  0.93000         2137.42
  0.96000         2187.93
  0.99000         2234.97
   1.0200         2256.88
   1.0500         2272.88
   1.0800         2284.09
   1.1100         2289.26
   1.1400         2266.47
   1.1700         2195.04
   1.2000         1855.03
   1.2300         1286.01
   1.2600         1110.07
   1.2900         842.092
   1.3200         610.797
   1.3500         431.370
   1.3800         359.871
   1.4100         303.776
   1.4400         290.060
   1.4700         247.950
   1.5000         247.425

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   22:04:52  NOV 26, 2021 CP=   5481.250

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2447 FX
                  FX
   1.5300         248.830
   1.5600         252.597
   1.5900         256.125
   1.6200         260.408
   1.6500         265.044
   1.6800         269.639
   1.7100         271.141
   1.7400         275.692
   1.7700         279.893
   1.8000         284.394
   1.8300         288.619
   1.8600         293.213
   1.8900         297.713
   1.9200         302.286
   1.9500         302.081
   1.9800         285.982
   2.0100         229.381
   2.0400         131.125
   2.0700         100.391
   2.1000         81.8824
   2.1300         74.1608
   2.1600         68.2433
   2.1900         61.2890
   2.2200         44.8740
   2.2500         40.4838
   2.2800         37.8397
   2.3100         36.9940
   2.3400         35.4267
   2.3700         34.6614
   2.4000         34.6187
   2.4300         34.9874
   2.4600         35.3866
   2.4900         34.6325
   2.5200         33.8203
   2.5500         33.9610
   2.5800         34.0702
   2.6100         34.3727
   2.6400         33.9605
   2.6700         33.9253
   2.7000         34.1728
   2.7300         34.3707
   2.7600         33.9992
   2.7900         32.6705
   2.8200         32.4718
   2.8500         32.5233
   2.8800         32.3107
   2.9100         32.1670
   2.9400         32.1687
   2.9700         32.3745
   2.9850         32.5221

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   22:04:52  NOV 26, 2021 CP=   5481.250

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2447 FX
                  FX
   2.9925         32.5937
   2.9955         32.6143
   2.9977         32.6125
   3.0000         32.2811
