STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  1525 FX        FX         14.50      3.000      1842.      1.620

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:44:11  NOV 27, 2021 CP=   8588.500

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1525 FX
                  FX
  0.30000E-01     36.6493
  0.60000E-01     73.2987
  0.90000E-01     109.948
  0.12000         146.597
  0.15000         183.247
  0.18000         219.896
  0.21000         256.545
  0.24000         293.195
  0.27000         329.828
  0.30000         366.462
  0.33000         403.069
  0.36000         439.542
  0.39000         475.838
  0.42000         512.165
  0.45000         548.507
  0.48000         584.837
  0.51000         621.213
  0.54000         657.507
  0.57000         693.818
  0.60000         730.022
  0.63000         766.198
  0.66000         802.265
  0.69000         838.357
  0.72000         874.385
  0.75000         910.386
  0.78000         946.162
  0.81000         981.767
  0.84000         1017.19
  0.87000         1052.46
  0.90000         1087.86
  0.93000         1123.06
  0.96000         1158.24
  0.99000         1193.50
   1.0200         1228.91
   1.0500         1264.16
   1.0800         1299.15
   1.1100         1334.34
   1.1400         1369.27
   1.1700         1403.54
   1.2000         1437.75
   1.2300         1471.65
   1.2600         1505.64
   1.2900         1539.91
   1.3200         1574.00
   1.3500         1607.32
   1.3800         1640.24
   1.4100         1673.88
   1.4400         1707.59
   1.4700         1740.75
   1.5000         1772.31

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:44:11  NOV 27, 2021 CP=   8588.500

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1525 FX
                  FX
   1.5300         1799.66
   1.5600         1822.35
   1.5900         1839.02
   1.6200         1842.03
   1.6500         1821.93
   1.6800         1775.66
   1.7100         1706.46
   1.7400         1626.14
   1.7700         1512.88
   1.8000         1133.98
   1.8300         674.422
   1.8600         97.8718
   1.8900         24.2911
   1.9200         19.1253
   1.9500         17.6906
   1.9800         17.5092
   2.0100         17.7077
   2.0400         17.7970
   2.0700         17.9691
   2.1000         17.4196
   2.1300         17.1008
   2.1600         17.1820
   2.1900         17.1663
   2.2200         16.8939
   2.2500         16.5599
   2.2800         16.4367
   2.3100         16.2043
   2.3400         15.9000
   2.3700         15.5577
   2.4000         15.7381
   2.4300         15.9071
   2.4600         16.0157
   2.4900         15.9814
   2.5200         16.0435
   2.5500         16.0864
   2.5800         16.2725
   2.6100         16.1846
   2.6400         15.9615
   2.6700         15.8406
   2.7000         15.9328
   2.7300         15.8233
   2.7600         15.9045
   2.7900         15.6254
   2.8200         15.5228
   2.8500         15.4413
   2.8800         15.3583
   2.9100         14.9250
   2.9400         14.9644
   2.9700         14.7953
   2.9850         14.8496

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   02:44:11  NOV 27, 2021 CP=   8588.500

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1525 FX
                  FX
   2.9925         14.7840
   2.9955         14.7275
   2.9977         14.6417
   3.0000         14.5017
