STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1075 FX        FX         12.94       1.740       1275.      0.6200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:45:54  DEC 04, 2021 CP=   2852.125

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1075 FX
                  FX
   0.20000E-01   43.9972
   0.40000E-01   87.9945
   0.60000E-01   131.992
   0.80000E-01   175.989
   0.10000       219.986
   0.12000       263.983
   0.14000       307.981
   0.16000       351.978
   0.18000       395.975
   0.20000       439.972
   0.22000       483.970
   0.24000       527.967
   0.26000       571.964
   0.28000       615.961
   0.30000       659.959
   0.32000       703.956
   0.34000       747.953
   0.36000       791.950
   0.38000       835.948
   0.40000       879.945
   0.42000       922.949
   0.44000       963.922
   0.46000       1003.12
   0.48000       1040.96
   0.50000       1078.05
   0.52000       1115.30
   0.54000       1151.33
   0.56000       1192.82
   0.58000       1228.86
   0.60000       1258.44
   0.62000       1274.71
   0.64000       1261.73
   0.66000       1117.70
   0.68000       1007.22
   0.70000       959.104
   0.72000       902.186
   0.74000       736.955
   0.76000       482.061
   0.78000       355.433
   0.80000       313.320
   0.82000       272.399
   0.84000       212.581
   0.86000       68.5414
   0.88000       25.3722
   0.90000       20.2508
   0.92000       18.8242
   0.94000       18.8466
   0.96000       18.6735
   0.98000       17.3987
    1.0000       17.0090

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:45:54  DEC 04, 2021 CP=   2852.172

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1075 FX
                  FX
    1.0200       17.2894
    1.0400       17.5811
    1.0600       16.6067
    1.0800       16.6949
    1.1000       16.2678
    1.1200       15.6385
    1.1400       13.7190
    1.1600       13.1184
    1.1800       13.2826
    1.2000       13.4507
    1.2200       13.6214
    1.2400       13.6548
    1.2600       13.6574
    1.2800       13.8325
    1.3000       14.0286
    1.3200       14.1960
    1.3400       14.3689
    1.3600       14.5366
    1.3800       14.7458
    1.4000       14.7059
    1.4200       13.9877
    1.4400       14.0326
    1.4600       13.9550
    1.4800       14.0393
    1.5000       14.1939
    1.5200       14.3831
    1.5400       14.5724
    1.5600       14.7616
    1.5800       14.8544
    1.6000       14.7676
    1.6200       14.7076
    1.6400       14.6977
    1.6600       14.7887
    1.6800       14.9269
    1.7000       14.6765
    1.7200       14.5585
    1.7400       12.9401
    1.7600       12.9741
    1.7800       13.1153
    1.8000       13.1562
    1.8200       13.2978
    1.8400       13.4344
    1.8600       13.5705
    1.8800       13.6924
    1.9000       13.7935
    1.9200       13.9023
    1.9400       14.0373
    1.9600       14.1806
    1.9800       14.2847
    1.9900       14.3455

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:45:54  DEC 04, 2021 CP=   2852.172

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1075 FX
                  FX
    1.9950       14.3695
    1.9970       14.3716
    1.9985       14.3460
    2.0000       14.3550
