STORAGE COMPLETE FOR    102 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1406 FX        FX         1.702       1.400       1667.       1.100

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   22:49:29  DEC 05, 2021 CP=   8610.953

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1406 FX
                  FX
   0.20000E-01   30.6432
   0.40000E-01   61.2864
   0.60000E-01   91.9297
   0.80000E-01   122.573
   0.10000       153.216
   0.12000       183.859
   0.14000       214.503
   0.16000       245.146
   0.18000       275.788
   0.20000       306.418
   0.22000       337.022
   0.24000       367.565
   0.26000       398.160
   0.28000       428.752
   0.30000       459.316
   0.32000       489.914
   0.34000       520.515
   0.36000       551.078
   0.38000       581.673
   0.40000       612.238
   0.42000       642.822
   0.44000       673.412
   0.46000       703.993
   0.48000       734.574
   0.50000       765.141
   0.52000       795.714
   0.54000       826.272
   0.56000       856.773
   0.58000       887.308
   0.60000       917.863
   0.62000       948.400
   0.64000       978.944
   0.66000       1009.50
   0.68000       1040.04
   0.70000       1070.61
   0.72000       1101.17
   0.74000       1131.70
   0.76000       1162.20
   0.78000       1192.70
   0.80000       1223.24
   0.82000       1253.79
   0.84000       1284.23
   0.86000       1314.67
   0.88000       1345.01
   0.90000       1375.31
   0.92000       1405.54
   0.94000       1435.83
   0.96000       1466.25
   0.98000       1496.59
    1.0000       1526.76

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   22:49:29  DEC 05, 2021 CP=   8610.953

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1406 FX
                  FX
    1.0200       1556.73
    1.0400       1586.49
    1.0600       1616.07
    1.0800       1644.49
    1.1000       1666.70
    1.1200       1654.57
    1.1400       1585.11
    1.1600       1470.97
    1.1800       1026.07
    1.2000       583.534
    1.2200       302.910
    1.2400       233.983
    1.2600       173.969
    1.2800       127.255
    1.3000       19.9164
    1.3200       2.13401
    1.3400       1.81303
    1.3600       1.74396
    1.3800       1.71320
    1.4000       1.70171
    1.4200       1.71777
    1.4400       1.74178
    1.4600       1.75959
    1.4800       1.78338
    1.5000       1.77026
    1.5200       1.79368
    1.5400       1.81724
    1.5600       1.83848
    1.5800       1.85746
    1.6000       1.88072
    1.6200       1.90386
    1.6400       1.79468
    1.6600       1.71578
    1.6800       1.73433
    1.7000       1.75463
    1.7200       1.77525
    1.7400       1.79579
    1.7600       1.79661
    1.7800       1.81567
    1.8000       1.83445
    1.8200       1.85460
    1.8400       1.87437
    1.8600       1.89429
    1.8800       1.89429
    1.9000       1.90458
    1.9200       1.91392
    1.9400       1.93384
    1.9600       1.95377
    1.9800       1.97355
    1.9900       1.98351

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   22:49:29  DEC 05, 2021 CP=   8610.953

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1406 FX
                  FX
    1.9950       1.98846
    2.0000       1.99284
