STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR    4280 FX        FX         19.49       2.000       1455.      0.7000

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   21:05:05  DEC 04, 2021 CP=  34795.672

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4280 FX
                  FX
   0.20000E-01   45.9835
   0.40000E-01   91.9671
   0.60000E-01   137.951
   0.80000E-01   183.934
   0.10000       229.918
   0.12000       275.901
   0.14000       321.885
   0.16000       367.868
   0.18000       413.852
   0.20000       459.835
   0.22000       505.819
   0.24000       551.802
   0.26000       597.786
   0.28000       643.769
   0.30000       689.753
   0.32000       735.737
   0.34000       781.720
   0.36000       827.704
   0.38000       873.687
   0.40000       919.499
   0.42000       965.311
   0.44000       1010.29
   0.46000       1053.50
   0.48000       1096.09
   0.50000       1138.55
   0.52000       1178.88
   0.54000       1215.81
   0.56000       1257.55
   0.58000       1300.30
   0.60000       1341.61
   0.62000       1380.80
   0.64000       1415.02
   0.66000       1439.95
   0.68000       1450.39
   0.70000       1455.45
   0.72000       1455.23
   0.74000       1445.48
   0.76000       1426.07
   0.78000       1247.85
   0.80000       997.866
   0.82000       752.604
   0.84000       733.253
   0.86000       675.403
   0.88000       603.132
   0.90000       523.805
   0.92000       429.437
   0.94000       343.913
   0.96000       269.938
   0.98000       215.223
    1.0000       183.800

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   21:05:05  DEC 04, 2021 CP=  34795.672

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4280 FX
                  FX
    1.0200       161.541
    1.0400       146.439
    1.0600       145.199
    1.0800       142.565
    1.1000       139.074
    1.1200       136.718
    1.1400       133.759
    1.1600       134.793
    1.1800       135.950
    1.2000       137.500
    1.2200       139.382
    1.2400       141.234
    1.2600       142.674
    1.2800       144.423
    1.3000       145.970
    1.3200       147.679
    1.3400       149.495
    1.3600       151.197
    1.3800       151.086
    1.4000       147.523
    1.4200       132.946
    1.4400       107.244
    1.4600       69.0959
    1.4800       51.6375
    1.5000       34.5340
    1.5200       29.3552
    1.5400       26.7571
    1.5600       25.1071
    1.5800       24.1639
    1.6000       23.3313
    1.6200       22.7131
    1.6400       22.1487
    1.6600       21.8537
    1.6800       21.7019
    1.7000       21.6013
    1.7200       21.4083
    1.7400       21.2514
    1.7600       21.1532
    1.7800       20.9358
    1.8000       20.9176
    1.8200       21.0280
    1.8400       21.1738
    1.8600       21.3350
    1.8800       21.4327
    1.9000       21.5407
    1.9200       21.5354
    1.9400       21.5568
    1.9600       21.6469
    1.9800       21.5700
    1.9900       21.5590

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   21:05:05  DEC 04, 2021 CP=  34795.672

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4280 FX
                  FX
    2.0000       19.4897
