STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  4679 FX        FX         26.43       2.000       1516.      0.9000

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   07:39:45  DEC 06, 2021 CP=   7027.297

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4679 FX
                  FX
   0.20000E-01   34.7638
   0.40000E-01   69.5275
   0.60000E-01   104.291
   0.80000E-01   139.055
   0.10000       173.819
   0.12000       208.583
   0.14000       243.346
   0.16000       278.110
   0.18000       312.874
   0.20000       347.638
   0.22000       382.401
   0.24000       417.165
   0.26000       451.929
   0.28000       486.693
   0.30000       521.456
   0.32000       556.220
   0.34000       590.984
   0.36000       625.748
   0.38000       660.511
   0.40000       695.275
   0.42000       730.039
   0.44000       764.803
   0.46000       799.566
   0.48000       834.330
   0.50000       869.084
   0.52000       903.693
   0.54000       937.920
   0.56000       971.362
   0.58000       1004.20
   0.60000       1037.47
   0.62000       1071.56
   0.64000       1105.95
   0.66000       1140.42
   0.68000       1174.67
   0.70000       1208.80
   0.72000       1243.02
   0.74000       1277.32
   0.76000       1311.49
   0.78000       1345.54
   0.80000       1379.68
   0.82000       1413.54
   0.84000       1446.61
   0.86000       1476.92
   0.88000       1503.99
   0.90000       1516.08
   0.92000       1513.86
   0.94000       1493.66
   0.96000       1460.29
   0.98000       1333.65
    1.0000       923.171

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   07:39:45  DEC 06, 2021 CP=   7027.297

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4679 FX
                  FX
    1.0200       459.911
    1.0400       223.669
    1.0600       104.261
    1.0800       77.9046
    1.1000       61.8281
    1.1200       49.0317
    1.1400       42.5327
    1.1600       39.0051
    1.1800       37.0802
    1.2000       36.0409
    1.2200       34.8388
    1.2400       34.2783
    1.2600       34.3003
    1.2800       34.2175
    1.3000       34.0749
    1.3200       33.3710
    1.3400       32.8802
    1.3600       32.9537
    1.3800       32.9985
    1.4000       33.0716
    1.4200       33.2103
    1.4400       33.4239
    1.4600       33.4818
    1.4800       33.5989
    1.5000       33.6774
    1.5200       33.7709
    1.5400       34.1016
    1.5600       34.2831
    1.5800       33.9452
    1.6000       33.7306
    1.6200       32.9452
    1.6400       31.6623
    1.6600       31.1845
    1.6800       31.1841
    1.7000       31.0758
    1.7200       30.8919
    1.7400       30.6239
    1.7600       29.9078
    1.7800       29.4677
    1.8000       29.3648
    1.8200       29.1852
    1.8400       29.1396
    1.8600       29.1302
    1.8800       28.9233
    1.9000       28.7495
    1.9200       28.5494
    1.9400       28.1220
    1.9600       27.4960
    1.9800       26.9522
    1.9900       26.9429

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   07:39:45  DEC 06, 2021 CP=   7027.297

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4679 FX
                  FX
    1.9950       26.8834
    1.9970       26.6880
    1.9985       26.4725
    2.0000       26.4316
