STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1189 FX        FX         46.03      0.2000E-001  2334.       1.080

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:47:40  DEC 07, 2021 CP=   2428.094

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1189 FX
                  FX
   0.20000E-01   46.0310
   0.40000E-01   92.0619
   0.60000E-01   138.093
   0.80000E-01   184.124
   0.10000       230.155
   0.12000       276.186
   0.14000       322.217
   0.16000       368.248
   0.18000       414.279
   0.20000       460.310
   0.22000       506.341
   0.24000       552.372
   0.26000       598.403
   0.28000       644.434
   0.30000       690.465
   0.32000       736.496
   0.34000       782.527
   0.36000       828.558
   0.38000       874.589
   0.40000       920.619
   0.42000       966.650
   0.44000       1012.68
   0.46000       1058.71
   0.48000       1104.74
   0.50000       1150.00
   0.52000       1193.89
   0.54000       1235.60
   0.56000       1274.43
   0.58000       1309.49
   0.60000       1348.93
   0.62000       1390.67
   0.64000       1433.60
   0.66000       1477.33
   0.68000       1521.99
   0.70000       1566.64
   0.72000       1610.16
   0.74000       1653.10
   0.76000       1696.24
   0.78000       1740.15
   0.80000       1784.43
   0.82000       1829.04
   0.84000       1873.65
   0.86000       1918.27
   0.88000       1962.36
   0.90000       2006.48
   0.92000       2051.06
   0.94000       2095.65
   0.96000       2140.24
   0.98000       2183.92
    1.0000       2226.88

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:47:40  DEC 07, 2021 CP=   2428.141

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1189 FX
                  FX
    1.0200       2266.85
    1.0400       2298.98
    1.0600       2325.95
    1.0800       2333.87
    1.1000       2314.65
    1.1200       2275.59
    1.1400       2224.02
    1.1600       2153.50
    1.1800       2057.01
    1.2000       1769.72
    1.2200       985.492
    1.2400       798.617
    1.2600       688.647
    1.2800       654.865
    1.3000       592.152
    1.3200       420.799
    1.3400       297.388
    1.3600       218.537
    1.3800       167.636
    1.4000       168.019
    1.4200       169.392
    1.4400       171.449
    1.4600       173.664
    1.4800       175.888
    1.5000       178.245
    1.5200       180.486
    1.5400       182.675
    1.5600       184.873
    1.5800       186.883
    1.6000       188.732
    1.6200       190.663
    1.6400       192.747
    1.6600       194.991
    1.6800       196.888
    1.7000       198.900
    1.7200       200.892
    1.7400       202.973
    1.7600       205.167
    1.7800       206.960
    1.8000       208.560
    1.8200       210.521
    1.8400       212.457
    1.8600       214.456
    1.8800       216.492
    1.9000       218.476
    1.9200       220.281
    1.9400       222.098
    1.9600       223.413
    1.9800       225.143
    1.9900       226.140

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:47:40  DEC 07, 2021 CP=   2428.141

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1189 FX
                  FX
    1.9945       226.560
    1.9973       226.682
    1.9993       226.894
    2.0000       226.768
