STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1189 FX        FX         24.98       1.880       2451.       1.100

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:11:22  DEC 07, 2021 CP=   3008.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1189 FX
                  FX
   0.20000E-01   48.3679
   0.40000E-01   96.7357
   0.60000E-01   145.104
   0.80000E-01   193.471
   0.10000       241.839
   0.12000       290.207
   0.14000       338.575
   0.16000       386.943
   0.18000       435.311
   0.20000       483.679
   0.22000       532.047
   0.24000       580.414
   0.26000       628.782
   0.28000       677.150
   0.30000       725.518
   0.32000       773.886
   0.34000       822.254
   0.36000       870.622
   0.38000       918.990
   0.40000       967.357
   0.42000       1015.73
   0.44000       1064.09
   0.46000       1112.46
   0.48000       1160.83
   0.50000       1209.20
   0.52000       1257.56
   0.54000       1305.93
   0.56000       1354.30
   0.58000       1402.67
   0.60000       1451.04
   0.62000       1499.40
   0.64000       1547.77
   0.66000       1596.14
   0.68000       1644.51
   0.70000       1692.88
   0.72000       1741.24
   0.74000       1789.61
   0.76000       1837.98
   0.78000       1886.35
   0.80000       1934.71
   0.82000       1983.08
   0.84000       2031.45
   0.86000       2079.82
   0.88000       2128.19
   0.90000       2174.99
   0.92000       2218.96
   0.94000       2257.70
   0.96000       2291.76
   0.98000       2322.98
    1.0000       2353.65

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:11:22  DEC 07, 2021 CP=   3008.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1189 FX
                  FX
    1.0200       2377.97
    1.0400       2406.55
    1.0600       2430.51
    1.0800       2447.61
    1.1000       2451.35
    1.1200       2414.45
    1.1400       2346.41
    1.1600       2202.98
    1.1800       2065.34
    1.2000       1923.85
    1.2200       1668.76
    1.2400       1125.25
    1.2600       630.210
    1.2800       234.658
    1.3000       38.2458
    1.3200       36.2193
    1.3400       36.6865
    1.3600       37.2186
    1.3800       37.4895
    1.4000       37.5706
    1.4200       37.9801
    1.4400       38.1160
    1.4600       38.6221
    1.4800       39.1268
    1.5000       39.6154
    1.5200       39.5355
    1.5400       38.7940
    1.5600       37.6124
    1.5800       36.0733
    1.6000       34.1552
    1.6200       32.7265
    1.6400       32.6558
    1.6600       33.0409
    1.6800       33.4053
    1.7000       33.7912
    1.7200       34.1887
    1.7400       34.4029
    1.7600       33.7694
    1.7800       32.4544
    1.8000       27.8213
    1.8200       26.8699
    1.8400       26.1251
    1.8600       25.6797
    1.8800       24.9826
    1.9000       25.1504
    1.9200       25.1059
    1.9400       25.1517
    1.9600       25.2870
    1.9800       25.3229
    1.9900       25.2826

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:11:22  DEC 07, 2021 CP=   3008.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1189 FX
                  FX
    1.9950       25.2025
    1.9970       25.1260
    1.9985       25.0093
    2.0000       25.0238
