STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1303 FX        FX         26.86       2.000       2455.      0.8400

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:42:38  DEC 08, 2021 CP=   3032.031

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1303 FX
                  FX
   0.20000E-01   60.6307
   0.40000E-01   121.261
   0.60000E-01   181.892
   0.80000E-01   242.523
   0.10000       303.153
   0.12000       363.784
   0.14000       424.415
   0.16000       485.046
   0.18000       545.676
   0.20000       606.307
   0.22000       666.938
   0.24000       727.568
   0.26000       788.199
   0.28000       848.830
   0.30000       909.460
   0.32000       970.091
   0.34000       1030.72
   0.36000       1091.35
   0.38000       1151.98
   0.40000       1212.61
   0.42000       1273.24
   0.44000       1333.88
   0.46000       1394.51
   0.48000       1455.14
   0.50000       1515.77
   0.52000       1576.40
   0.54000       1637.03
   0.56000       1697.66
   0.58000       1758.29
   0.60000       1818.92
   0.62000       1879.55
   0.64000       1940.18
   0.66000       2000.81
   0.68000       2061.44
   0.70000       2122.07
   0.72000       2181.53
   0.74000       2238.89
   0.76000       2291.97
   0.78000       2340.46
   0.80000       2381.19
   0.82000       2419.89
   0.84000       2454.71
   0.86000       2446.93
   0.88000       2392.07
   0.90000       2318.48
   0.92000       2176.03
   0.94000       1646.11
   0.96000       1388.23
   0.98000       1057.52
    1.0000       870.722

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:42:38  DEC 08, 2021 CP=   3032.031

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1303 FX
                  FX
    1.0200       631.399
    1.0400       417.218
    1.0600       235.768
    1.0800       224.659
    1.1000       225.999
    1.1200       228.950
    1.1400       232.375
    1.1600       235.907
    1.1800       239.226
    1.2000       241.660
    1.2200       245.177
    1.2400       248.987
    1.2600       252.610
    1.2800       255.645
    1.3000       258.479
    1.3200       260.614
    1.3400       263.881
    1.3600       267.053
    1.3800       269.851
    1.4000       271.568
    1.4200       275.257
    1.4400       278.757
    1.4600       282.377
    1.4800       286.123
    1.5000       289.752
    1.5200       293.140
    1.5400       296.696
    1.5600       300.087
    1.5800       303.672
    1.6000       307.344
    1.6200       308.348
    1.6400       310.509
    1.6600       313.860
    1.6800       317.025
    1.7000       320.318
    1.7200       322.978
    1.7400       326.189
    1.7600       329.319
    1.7800       332.213
    1.8000       325.146
    1.8200       251.196
    1.8400       122.416
    1.8600       84.8811
    1.8800       56.9524
    1.9000       41.8385
    1.9200       37.0659
    1.9400       32.1746
    1.9600       29.1484
    1.9800       28.1130
    1.9900       27.6880

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:42:38  DEC 08, 2021 CP=   3032.031

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1303 FX
                  FX
    2.0000       26.8591
