STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  5027 FX        FX         28.97       2.000       2230.      0.8400

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   04:02:53  DEC 08, 2021 CP=   5575.172

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5027 FX
                  FX
   0.20000E-01   57.5510
   0.40000E-01   115.102
   0.60000E-01   172.653
   0.80000E-01   230.204
   0.10000       287.755
   0.12000       345.306
   0.14000       402.857
   0.16000       460.408
   0.18000       517.959
   0.20000       575.510
   0.22000       633.061
   0.24000       690.613
   0.26000       748.164
   0.28000       805.715
   0.30000       863.266
   0.32000       920.817
   0.34000       978.368
   0.36000       1035.92
   0.38000       1093.47
   0.40000       1151.02
   0.42000       1208.57
   0.44000       1266.12
   0.46000       1323.67
   0.48000       1381.16
   0.50000       1438.29
   0.52000       1495.07
   0.54000       1551.85
   0.56000       1608.04
   0.58000       1663.11
   0.60000       1716.84
   0.62000       1768.06
   0.64000       1815.90
   0.66000       1861.05
   0.68000       1909.06
   0.70000       1957.25
   0.72000       2008.81
   0.74000       2062.53
   0.76000       2114.95
   0.78000       2163.59
   0.80000       2204.19
   0.82000       2226.94
   0.84000       2229.82
   0.86000       2208.72
   0.88000       2184.44
   0.90000       2140.25
   0.92000       2090.76
   0.94000       1777.32
   0.96000       1509.19
   0.98000       1339.60
    1.0000       1078.44

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   04:02:53  DEC 08, 2021 CP=   5575.172

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5027 FX
                  FX
    1.0200       904.568
    1.0400       707.347
    1.0600       540.555
    1.0800       463.552
    1.1000       368.314
    1.1200       277.335
    1.1400       211.941
    1.1600       149.745
    1.1800       102.141
    1.2000       77.1683
    1.2200       60.0211
    1.2400       52.4571
    1.2600       50.0376
    1.2800       48.9736
    1.3000       48.7504
    1.3200       47.8296
    1.3400       45.2863
    1.3600       43.7400
    1.3800       42.1379
    1.4000       41.2210
    1.4200       41.3751
    1.4400       41.3874
    1.4600       41.6654
    1.4800       41.6507
    1.5000       41.2765
    1.5200       41.1508
    1.5400       41.2960
    1.5600       40.7289
    1.5800       39.6639
    1.6000       38.4055
    1.6200       37.5201
    1.6400       36.4428
    1.6600       36.3755
    1.6800       36.1175
    1.7000       35.4715
    1.7200       34.8903
    1.7400       34.6003
    1.7600       33.7280
    1.7800       33.6604
    1.8000       33.3621
    1.8200       33.1162
    1.8400       32.9174
    1.8600       32.6873
    1.8800       32.1791
    1.9000       31.1054
    1.9200       31.1205
    1.9400       31.0901
    1.9600       31.1114
    1.9800       30.7536
    1.9900       30.6338

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   04:02:53  DEC 08, 2021 CP=   5575.172

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5027 FX
                  FX
    1.9950       30.2801
    1.9970       29.9018
    1.9985       29.0719
    2.0000       28.9747
