STORAGE COMPLETE FOR    102 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  8952 FX        FX         51.43      0.2000E-001  2610.       1.040

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:36:49  DEC 08, 2021 CP=   6635.828

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       8952 FX
                  FX
   0.20000E-01   51.4274
   0.40000E-01   102.855
   0.60000E-01   154.282
   0.80000E-01   205.710
   0.10000       257.137
   0.12000       308.565
   0.14000       359.992
   0.16000       411.420
   0.18000       462.841
   0.20000       514.245
   0.22000       565.668
   0.24000       617.058
   0.26000       668.386
   0.28000       719.560
   0.30000       770.526
   0.32000       821.628
   0.34000       872.582
   0.36000       923.892
   0.38000       975.141
   0.40000       1026.43
   0.42000       1077.62
   0.44000       1128.82
   0.46000       1179.99
   0.48000       1231.17
   0.50000       1282.30
   0.52000       1333.45
   0.54000       1384.61
   0.56000       1435.54
   0.58000       1486.42
   0.60000       1537.18
   0.62000       1587.95
   0.64000       1638.83
   0.66000       1689.77
   0.68000       1740.63
   0.70000       1791.49
   0.72000       1842.38
   0.74000       1893.35
   0.76000       1944.17
   0.78000       1994.94
   0.80000       2045.52
   0.82000       2096.11
   0.84000       2146.67
   0.86000       2197.28
   0.88000       2247.99
   0.90000       2298.64
   0.92000       2349.00
   0.94000       2398.73
   0.96000       2447.67
   0.98000       2494.37
    1.0000       2541.47

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:36:49  DEC 08, 2021 CP=   6635.828

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       8952 FX
                  FX
    1.0200       2581.73
    1.0400       2609.65
    1.0600       2601.64
    1.0800       2515.49
    1.1000       2245.99
    1.1200       2044.39
    1.1400       1915.39
    1.1600       1820.19
    1.1800       1701.95
    1.2000       1572.90
    1.2200       1469.68
    1.2400       1342.98
    1.2600       1151.17
    1.2800       879.852
    1.3000       587.759
    1.3200       411.055
    1.3400       324.254
    1.3600       276.184
    1.3800       245.708
    1.4000       226.237
    1.4200       209.600
    1.4400       195.845
    1.4600       182.231
    1.4800       169.764
    1.5000       158.140
    1.5200       147.963
    1.5400       143.842
    1.5600       139.268
    1.5800       136.518
    1.6000       133.198
    1.6200       131.001
    1.6400       126.419
    1.6600       123.699
    1.6800       120.601
    1.7000       118.468
    1.7200       115.862
    1.7400       112.822
    1.7600       111.021
    1.7800       109.182
    1.8000       107.976
    1.8200       107.494
    1.8400       106.955
    1.8600       107.216
    1.8800       106.832
    1.9000       106.959
    1.9200       106.021
    1.9400       105.078
    1.9600       104.208
    1.9800       103.482
    1.9900       103.468

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:36:49  DEC 08, 2021 CP=   6635.828

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       8952 FX
                  FX
    1.9950       103.005
    2.0000       98.3100
