STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  2882 FX        FX         41.88       2.000       2941.       1.280

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:29:12  DEC 13, 2021 CP=   4997.359

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2882 FX
                  FX
   0.20000E-01   48.4513
   0.40000E-01   96.9026
   0.60000E-01   145.354
   0.80000E-01   193.805
   0.10000       242.257
   0.12000       290.708
   0.14000       339.159
   0.16000       387.610
   0.18000       436.062
   0.20000       484.513
   0.22000       532.952
   0.24000       581.372
   0.26000       629.810
   0.28000       678.236
   0.30000       726.620
   0.32000       774.948
   0.34000       823.264
   0.36000       871.458
   0.38000       919.406
   0.40000       967.098
   0.42000       1014.68
   0.44000       1062.55
   0.46000       1110.41
   0.48000       1158.31
   0.50000       1206.44
   0.52000       1254.51
   0.54000       1302.22
   0.56000       1350.15
   0.58000       1397.77
   0.60000       1445.00
   0.62000       1492.38
   0.64000       1539.82
   0.66000       1587.27
   0.68000       1635.00
   0.70000       1682.53
   0.72000       1730.06
   0.74000       1777.43
   0.76000       1824.20
   0.78000       1871.00
   0.80000       1917.68
   0.82000       1963.64
   0.84000       2009.21
   0.86000       2054.90
   0.88000       2100.68
   0.90000       2146.23
   0.92000       2192.20
   0.94000       2237.57
   0.96000       2283.32
   0.98000       2328.07
    1.0000       2372.58

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:29:12  DEC 13, 2021 CP=   4997.359

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2882 FX
                  FX
    1.0200       2417.53
    1.0400       2463.45
    1.0600       2509.07
    1.0800       2555.37
    1.1000       2600.54
    1.1200       2644.50
    1.1400       2688.18
    1.1600       2731.72
    1.1800       2773.39
    1.2000       2814.03
    1.2200       2853.41
    1.2400       2891.31
    1.2600       2922.05
    1.2800       2941.42
    1.3000       2939.83
    1.3200       2907.95
    1.3400       2865.50
    1.3600       2812.16
    1.3800       2731.09
    1.4000       2579.46
    1.4200       2351.29
    1.4400       1884.04
    1.4600       1339.86
    1.4800       1060.84
    1.5000       871.265
    1.5200       446.685
    1.5400       202.433
    1.5600       50.9029
    1.5800       49.5442
    1.6000       50.0180
    1.6200       50.1808
    1.6400       50.3092
    1.6600       50.5966
    1.6800       50.4963
    1.7000       50.2421
    1.7200       50.7324
    1.7400       51.0978
    1.7600       51.2928
    1.7800       51.1500
    1.8000       50.8440
    1.8200       50.0569
    1.8400       49.1641
    1.8600       48.6549
    1.8800       48.1651
    1.9000       47.8459
    1.9200       47.4163
    1.9400       46.5442
    1.9600       45.8656
    1.9800       45.4751
    1.9900       45.3145

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:29:12  DEC 13, 2021 CP=   4997.359

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2882 FX
                  FX
    2.0000       41.8848
