STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  2882 FX        FX         33.72       2.000       1678.      0.6200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   18:25:22  DEC 13, 2021 CP=   5771.266

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2882 FX
                  FX
   0.20000E-01   61.9652
   0.40000E-01   123.930
   0.60000E-01   185.892
   0.80000E-01   247.833
   0.10000       309.685
   0.12000       371.143
   0.14000       432.452
   0.16000       493.680
   0.18000       554.697
   0.20000       615.554
   0.22000       676.024
   0.24000       735.745
   0.26000       795.427
   0.28000       854.279
   0.30000       912.773
   0.32000       971.268
   0.34000       1028.89
   0.36000       1085.12
   0.38000       1140.89
   0.40000       1196.96
   0.42000       1253.40
   0.44000       1308.80
   0.46000       1363.70
   0.48000       1418.34
   0.50000       1472.35
   0.52000       1522.01
   0.54000       1566.74
   0.56000       1607.03
   0.58000       1639.14
   0.60000       1663.16
   0.62000       1678.44
   0.64000       1663.46
   0.66000       1606.70
   0.68000       1510.50
   0.70000       1406.08
   0.72000       1256.84
   0.74000       701.262
   0.76000       540.835
   0.78000       527.521
   0.80000       514.888
   0.82000       503.429
   0.84000       498.769
   0.86000       499.965
   0.88000       497.809
   0.90000       497.214
   0.92000       495.723
   0.94000       494.462
   0.96000       491.633
   0.98000       488.955
    1.0000       482.463

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   18:25:22  DEC 13, 2021 CP=   5771.266

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2882 FX
                  FX
    1.0200       473.077
    1.0400       460.065
    1.0600       441.103
    1.0800       423.821
    1.1000       402.096
    1.1200       383.459
    1.1400       364.128
    1.1600       344.325
    1.1800       320.514
    1.2000       293.992
    1.2200       264.287
    1.2400       230.522
    1.2600       189.608
    1.2800       149.111
    1.3000       118.297
    1.3200       97.5977
    1.3400       85.7342
    1.3600       77.0582
    1.3800       72.4288
    1.4000       68.5903
    1.4200       65.8417
    1.4400       63.9955
    1.4600       62.1735
    1.4800       60.2235
    1.5000       58.5431
    1.5200       56.3000
    1.5400       53.7306
    1.5600       50.9307
    1.5800       49.5408
    1.6000       47.4641
    1.6200       45.9595
    1.6400       45.0653
    1.6600       44.6696
    1.6800       44.3815
    1.7000       43.8443
    1.7200       42.8315
    1.7400       42.3024
    1.7600       41.4709
    1.7800       40.2710
    1.8000       40.1468
    1.8200       40.0466
    1.8400       39.5640
    1.8600       38.9400
    1.8800       37.8792
    1.9000       37.2726
    1.9200       36.9026
    1.9400       36.3026
    1.9600       36.0705
    1.9800       35.9113
    1.9900       35.7811

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   18:25:22  DEC 13, 2021 CP=   5771.266

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2882 FX
                  FX
    2.0000       33.7220
