STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  2092 FX        FX         48.90      0.2000E-001  2201.      0.9400

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:50:00  JAN 04, 2022 CP=   7223.656

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2092 FX
                  FX
   0.20000E-01   48.9001
   0.40000E-01   97.8003
   0.60000E-01   146.700
   0.80000E-01   195.601
   0.10000       244.501
   0.12000       293.401
   0.14000       342.301
   0.16000       391.201
   0.18000       440.101
   0.20000       489.001
   0.22000       537.902
   0.24000       586.802
   0.26000       635.702
   0.28000       684.602
   0.30000       733.502
   0.32000       782.402
   0.34000       831.302
   0.36000       880.203
   0.38000       929.103
   0.40000       978.003
   0.42000       1026.90
   0.44000       1075.80
   0.46000       1124.70
   0.48000       1173.60
   0.50000       1222.50
   0.52000       1271.40
   0.54000       1320.30
   0.56000       1369.20
   0.58000       1418.10
   0.60000       1466.94
   0.62000       1515.77
   0.64000       1564.67
   0.66000       1613.51
   0.68000       1662.40
   0.70000       1711.30
   0.72000       1760.09
   0.74000       1808.55
   0.76000       1856.29
   0.78000       1903.35
   0.80000       1949.69
   0.82000       1992.23
   0.84000       2026.19
   0.86000       2059.22
   0.88000       2098.25
   0.90000       2139.63
   0.92000       2178.93
   0.94000       2200.78
   0.96000       2142.65
   0.98000       1732.47
    1.0000       1326.93

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:50:00  JAN 04, 2022 CP=   7223.656

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2092 FX
                  FX
    1.0200       1108.59
    1.0400       953.564
    1.0600       831.658
    1.0800       725.957
    1.1000       640.045
    1.1200       569.944
    1.1400       504.246
    1.1600       459.188
    1.1800       411.193
    1.2000       371.674
    1.2200       338.180
    1.2400       314.141
    1.2600       293.832
    1.2800       280.265
    1.3000       265.774
    1.3200       253.074
    1.3400       244.356
    1.3600       235.814
    1.3800       228.489
    1.4000       225.108
    1.4200       223.138
    1.4400       220.083
    1.4600       216.122
    1.4800       213.567
    1.5000       212.294
    1.5200       211.155
    1.5400       211.758
    1.5600       212.118
    1.5800       210.795
    1.6000       210.454
    1.6200       209.255
    1.6400       208.879
    1.6600       209.171
    1.6800       210.122
    1.7000       210.144
    1.7200       210.153
    1.7400       209.539
    1.7600       206.902
    1.7800       206.212
    1.8000       205.211
    1.8200       204.761
    1.8400       203.438
    1.8600       199.282
    1.8800       196.674
    1.9000       193.632
    1.9200       189.783
    1.9400       187.174
    1.9600       184.443
    1.9800       181.210
    1.9890       180.045

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   13:50:00  JAN 04, 2022 CP=   7223.656

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2092 FX
                  FX
    1.9945       174.716
    1.9965       172.147
    1.9983       167.093
    2.0000       163.178
