STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1303 FX        FX         32.01       1.760       2810.      0.8800

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:11:03  DEC 15, 2021 CP=   2303.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1303 FX
                  FX
   0.20000E-01   67.0597
   0.40000E-01   134.119
   0.60000E-01   201.179
   0.80000E-01   268.239
   0.10000       335.299
   0.12000       402.358
   0.14000       469.418
   0.16000       536.478
   0.18000       603.538
   0.20000       670.597
   0.22000       737.657
   0.24000       804.717
   0.26000       871.776
   0.28000       938.836
   0.30000       1005.90
   0.32000       1072.96
   0.34000       1140.02
   0.36000       1207.08
   0.38000       1274.13
   0.40000       1341.19
   0.42000       1408.25
   0.44000       1475.31
   0.46000       1542.37
   0.48000       1609.43
   0.50000       1676.49
   0.52000       1743.55
   0.54000       1810.61
   0.56000       1877.67
   0.58000       1944.73
   0.60000       2011.79
   0.62000       2078.85
   0.64000       2145.91
   0.66000       2212.97
   0.68000       2280.03
   0.70000       2347.09
   0.72000       2414.15
   0.74000       2481.21
   0.76000       2548.27
   0.78000       2613.83
   0.80000       2674.69
   0.82000       2720.85
   0.84000       2757.75
   0.86000       2783.45
   0.88000       2810.00
   0.90000       2804.81
   0.92000       2746.83
   0.94000       2659.43
   0.96000       2556.99
   0.98000       2198.09
    1.0000       1894.22

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:11:03  DEC 15, 2021 CP=   2303.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1303 FX
                  FX
    1.0200       1314.91
    1.0400       1025.72
    1.0600       744.972
    1.0800       492.121
    1.1000       302.527
    1.1200       302.670
    1.1400       304.036
    1.1600       307.718
    1.1800       312.463
    1.2000       317.299
    1.2200       322.269
    1.2400       326.796
    1.2600       331.841
    1.2800       336.780
    1.3000       341.861
    1.3200       336.626
    1.3400       265.389
    1.3600       140.875
    1.3800       89.4053
    1.4000       67.6943
    1.4200       57.7708
    1.4400       50.5517
    1.4600       49.0040
    1.4800       47.7900
    1.5000       46.0472
    1.5200       43.6231
    1.5400       42.2877
    1.5600       38.4870
    1.5800       35.6450
    1.6000       34.2545
    1.6200       33.6720
    1.6400       32.9315
    1.6600       33.1330
    1.6800       32.8327
    1.7000       32.5570
    1.7200       32.2390
    1.7400       32.1727
    1.7600       32.0124
    1.7800       32.3747
    1.8000       32.7383
    1.8200       32.5453
    1.8400       32.6805
    1.8600       33.0192
    1.8800       33.3742
    1.9000       33.6263
    1.9200       33.9232
    1.9400       34.2622
    1.9600       34.5885
    1.9800       34.9319
    1.9900       35.0195

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:11:03  DEC 15, 2021 CP=   2303.625

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1303 FX
                  FX
    1.9950       35.0410
    1.9970       35.0300
    1.9985       34.9182
    2.0000       34.9102
