STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  2850 FX        FX         25.95       2.000       2264.      0.9200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   19:25:21  JAN 05, 2022 CP=   5363.031

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2850 FX
                  FX
   0.20000E-01   51.7827
   0.40000E-01   103.565
   0.60000E-01   155.348
   0.80000E-01   207.131
   0.10000       258.914
   0.12000       310.696
   0.14000       362.479
   0.16000       414.262
   0.18000       466.045
   0.20000       517.827
   0.22000       569.610
   0.24000       621.393
   0.26000       673.176
   0.28000       724.958
   0.30000       776.741
   0.32000       828.467
   0.34000       879.952
   0.36000       931.157
   0.38000       982.293
   0.40000       1033.48
   0.42000       1084.61
   0.44000       1135.69
   0.46000       1186.65
   0.48000       1237.55
   0.50000       1288.57
   0.52000       1339.42
   0.54000       1390.05
   0.56000       1440.41
   0.58000       1490.39
   0.60000       1540.35
   0.62000       1589.97
   0.64000       1639.62
   0.66000       1689.15
   0.68000       1738.25
   0.70000       1787.51
   0.72000       1836.09
   0.74000       1884.63
   0.76000       1932.81
   0.78000       1981.14
   0.80000       2028.55
   0.82000       2076.04
   0.84000       2122.86
   0.86000       2169.44
   0.88000       2213.70
   0.90000       2249.28
   0.92000       2264.21
   0.94000       2237.67
   0.96000       2180.47
   0.98000       2109.07
    1.0000       2019.34

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   19:25:21  JAN 05, 2022 CP=   5363.031

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2850 FX
                  FX
    1.0200       1838.16
    1.0400       1538.60
    1.0600       1189.67
    1.0800       852.140
    1.1000       284.774
    1.1200       90.9639
    1.1400       66.9480
    1.1600       56.3956
    1.1800       49.0075
    1.2000       42.6467
    1.2200       39.6535
    1.2400       35.4745
    1.2600       32.5825
    1.2800       32.1879
    1.3000       32.1325
    1.3200       32.1799
    1.3400       32.5267
    1.3600       32.8453
    1.3800       32.3538
    1.4000       32.2292
    1.4200       32.6803
    1.4400       32.8594
    1.4600       32.9795
    1.4800       32.4540
    1.5000       32.6237
    1.5200       32.5436
    1.5400       32.7638
    1.5600       32.8767
    1.5800       32.9782
    1.6000       32.3566
    1.6200       30.8368
    1.6400       30.6739
    1.6600       30.1058
    1.6800       30.1598
    1.7000       29.8439
    1.7200       29.2647
    1.7400       28.7711
    1.7600       28.8196
    1.7800       28.3252
    1.8000       27.9298
    1.8200       27.5658
    1.8400       27.4451
    1.8600       26.7057
    1.8800       26.6392
    1.9000       26.2572
    1.9200       26.4794
    1.9400       26.6839
    1.9600       26.7306
    1.9800       26.7586
    1.9900       26.8933

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   19:25:21  JAN 05, 2022 CP=   5363.031

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2850 FX
                  FX
    1.9950       26.6316
    1.9970       26.3247
    1.9985       26.0126
    2.0000       25.9475
