STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1343 FX        FX         32.61       1.999       2599.      0.9600

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:08:17  JAN 04, 2022 CP=   2716.938

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1343 FX
                  FX
   0.20000E-01   57.0880
   0.40000E-01   114.176
   0.60000E-01   171.264
   0.80000E-01   228.352
   0.10000       285.440
   0.12000       342.528
   0.14000       399.616
   0.16000       456.704
   0.18000       513.792
   0.20000       570.880
   0.22000       627.968
   0.24000       685.056
   0.26000       742.144
   0.28000       799.232
   0.30000       856.320
   0.32000       913.408
   0.34000       970.496
   0.36000       1027.58
   0.38000       1084.67
   0.40000       1141.76
   0.42000       1198.85
   0.44000       1255.94
   0.46000       1313.02
   0.48000       1370.11
   0.50000       1427.20
   0.52000       1484.29
   0.54000       1541.38
   0.56000       1598.46
   0.58000       1655.55
   0.60000       1712.64
   0.62000       1769.73
   0.64000       1826.82
   0.66000       1883.90
   0.68000       1940.99
   0.70000       1998.08
   0.72000       2055.17
   0.74000       2112.26
   0.76000       2169.35
   0.78000       2226.01
   0.80000       2281.98
   0.82000       2336.74
   0.84000       2389.07
   0.86000       2422.42
   0.88000       2457.67
   0.90000       2500.84
   0.92000       2546.17
   0.94000       2580.41
   0.96000       2598.72
   0.98000       2588.21
    1.0000       2562.22

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:08:17  JAN 04, 2022 CP=   2716.984

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1343 FX
                  FX
    1.0200       2499.05
    1.0400       2307.87
    1.0600       1927.08
    1.0800       1168.47
    1.1000       492.682
    1.1200       229.240
    1.1400       110.734
    1.1600       81.6510
    1.1800       68.4465
    1.2000       61.8076
    1.2200       58.5858
    1.2400       56.7887
    1.2600       54.4493
    1.2800       52.2472
    1.3000       51.2648
    1.3200       50.1012
    1.3400       46.5852
    1.3600       45.6052
    1.3800       44.8559
    1.4000       43.9849
    1.4200       43.7506
    1.4400       42.6455
    1.4600       41.2225
    1.4800       40.6567
    1.5000       40.1355
    1.5200       40.4626
    1.5400       40.5526
    1.5600       40.6233
    1.5800       40.4143
    1.6000       39.3750
    1.6200       38.8334
    1.6400       38.4742
    1.6600       38.1521
    1.6800       38.3742
    1.7000       37.6997
    1.7200       37.8278
    1.7400       38.2472
    1.7600       38.2641
    1.7800       38.2176
    1.8000       37.7459
    1.8200       37.5061
    1.8400       37.6010
    1.8600       37.2696
    1.8800       36.8817
    1.9000       35.1988
    1.9200       34.4834
    1.9400       34.1592
    1.9600       33.6599
    1.9800       33.1311
    1.9900       33.1771

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:08:17  JAN 04, 2022 CP=   2716.984

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1343 FX
                  FX
    1.9950       32.8701
    1.9970       32.7232
    1.9985       32.6111
    2.0000       32.6349
