
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4404 FX      
                  FX      
   0.20000E-01   51.8920     
   0.40000E-01   103.784     
   0.60000E-01   155.676     
   0.80000E-01   207.568     
   0.10000       259.460     
   0.12000       311.352     
   0.14000       363.244     
   0.16000       415.136     
   0.18000       467.028     
   0.20000       518.920     
   0.22000       570.812     
   0.24000       622.704     
   0.26000       674.596     
   0.28000       726.486     
   0.30000       778.360     
   0.32000       830.187     
   0.34000       881.978     
   0.36000       933.751     
   0.38000       985.479     
   0.40000       1037.09     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4404 FX      
                  FX      
   0.42000       1088.59     
   0.44000       1140.29     
   0.46000       1191.96     
   0.48000       1243.68     
   0.50000       1295.42     
   0.52000       1347.15     
   0.54000       1398.82     
   0.56000       1450.47     
   0.58000       1502.06     
   0.60000       1553.58     
   0.62000       1605.04     
   0.64000       1656.69     
   0.66000       1708.35     
   0.68000       1759.91     
   0.70000       1811.37     
   0.72000       1862.79     
   0.74000       1914.28     
   0.76000       1965.79     
   0.78000       2017.07     
   0.80000       2068.22     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4404 FX      
                  FX      
   0.82000       2119.52     
   0.84000       2170.73     
   0.86000       2221.74     
   0.88000       2272.90     
   0.90000       2323.73     
   0.92000       2374.62     
   0.94000       2425.08     
   0.96000       2475.51     
   0.98000       2525.80     
    1.0000       2576.34     
    1.0200       2626.86     
    1.0400       2677.23     
    1.0600       2727.65     
    1.0800       2777.77     
    1.1000       2828.15     
    1.1200       2878.35     
    1.1400       2927.91     
    1.1600       2975.74     
    1.1800       3023.37     
    1.2000       3066.74     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4404 FX      
                  FX      
    1.2200       3085.13     
    1.2400       3033.22     
    1.2600       2782.25     
    1.2800       2386.14     
    1.3000       2145.05     
    1.3200       1782.15     
    1.3400       1015.00     
    1.3600       549.078     
    1.3800       321.405     
    1.4000       156.287     
    1.4200       109.896     
    1.4400       89.7590     
    1.4600       75.0458     
    1.4800       66.4990     
    1.5000       60.9943     
    1.5200       57.5425     
    1.5400       55.1836     
    1.5600       53.2775     
    1.5800       52.2095     
    1.6000       50.6596     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4404 FX      
                  FX      
    1.6200       49.7390     
    1.6400       48.5221     
    1.6600       47.8406     
    1.6800       46.7784     
    1.7000       45.6835     
    1.7200       45.1261     
    1.7400       44.3111     
    1.7600       44.0041     
    1.7800       43.8764     
    1.8000       43.4721     
    1.8200       43.2351     
    1.8400       43.4997     
    1.8600       43.6220     
    1.8800       43.5526     
    1.9000       43.4201     
    1.9200       43.0707     
    1.9400       42.2272     
    1.9600       41.8749     
    1.9800       41.7069     
    1.9900       41.4872     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       4404 FX      
                  FX      
    1.9950       40.9903     
    1.9970       40.5355     
    1.9985       39.3882     
    2.0000       38.4967     
