STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  5553 FX        FX         42.73      0.2000E-001  2159.       1.020

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:57:55  DEC 15, 2021 CP=   9330.703

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5553 FX
                  FX
   0.20000E-01   42.7327
   0.40000E-01   85.4654
   0.60000E-01   128.198
   0.80000E-01   170.931
   0.10000       213.663
   0.12000       256.396
   0.14000       299.129
   0.16000       341.861
   0.18000       384.594
   0.20000       427.327
   0.22000       470.060
   0.24000       512.792
   0.26000       555.525
   0.28000       598.256
   0.30000       640.988
   0.32000       683.720
   0.34000       726.449
   0.36000       769.180
   0.38000       811.903
   0.40000       854.612
   0.42000       897.309
   0.44000       940.015
   0.46000       982.672
   0.48000       1025.38
   0.50000       1068.06
   0.52000       1110.72
   0.54000       1153.38
   0.56000       1196.07
   0.58000       1238.72
   0.60000       1281.40
   0.62000       1324.10
   0.64000       1366.81
   0.66000       1409.49
   0.68000       1452.15
   0.70000       1494.82
   0.72000       1537.52
   0.74000       1580.18
   0.76000       1622.83
   0.78000       1665.48
   0.80000       1708.11
   0.82000       1750.67
   0.84000       1793.31
   0.86000       1835.96
   0.88000       1878.64
   0.90000       1921.25
   0.92000       1963.88
   0.94000       2006.42
   0.96000       2049.04
   0.98000       2091.55
    1.0000       2133.47

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:57:55  DEC 15, 2021 CP=   9330.703

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5553 FX
                  FX
    1.0200       2159.26
    1.0400       2052.30
    1.0600       1994.93
    1.0800       2006.42
    1.1000       2033.89
    1.1200       2061.41
    1.1400       2081.94
    1.1600       2069.25
    1.1800       2016.18
    1.2000       1912.88
    1.2200       1793.72
    1.2400       1627.80
    1.2600       1367.51
    1.2800       1096.33
    1.3000       898.610
    1.3200       725.983
    1.3400       520.484
    1.3600       334.762
    1.3800       208.448
    1.4000       129.596
    1.4200       100.600
    1.4400       82.9580
    1.4600       72.2300
    1.4800       67.9420
    1.5000       65.6282
    1.5200       64.7594
    1.5400       63.0677
    1.5600       61.8471
    1.5800       60.5123
    1.6000       59.8853
    1.6200       59.4774
    1.6400       58.2250
    1.6600       57.2195
    1.6800       56.5725
    1.7000       55.8544
    1.7200       55.3685
    1.7400       54.7861
    1.7600       54.1514
    1.7800       53.4384
    1.8000       52.4633
    1.8200       51.5776
    1.8400       50.8610
    1.8600       50.1836
    1.8800       48.4382
    1.9000       47.4187
    1.9200       46.7626
    1.9400       46.3109
    1.9600       46.5400
    1.9800       46.7220
    1.9900       46.7050

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   15:57:55  DEC 15, 2021 CP=   9330.703

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5553 FX
                  FX
    1.9950       46.4283
    1.9970       46.0613
    1.9985       44.8183
    2.0000       43.4952
