STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  5939 FX        FX         9.525       1.520       2751.      0.9400

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   08:24:47  JAN 10, 2022 CP=   5531.062

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5939 FX
                  FX
   0.20000E-01   63.6935
   0.40000E-01   127.387
   0.60000E-01   191.080
   0.80000E-01   254.774
   0.10000       318.467
   0.12000       382.161
   0.14000       445.854
   0.16000       509.548
   0.18000       573.241
   0.20000       636.935
   0.22000       700.628
   0.24000       764.322
   0.26000       827.997
   0.28000       891.612
   0.30000       954.971
   0.32000       1018.22
   0.34000       1080.87
   0.36000       1143.96
   0.38000       1207.24
   0.40000       1270.50
   0.42000       1333.66
   0.44000       1396.90
   0.46000       1459.95
   0.48000       1522.92
   0.50000       1586.00
   0.52000       1648.64
   0.54000       1711.29
   0.56000       1773.88
   0.58000       1836.45
   0.60000       1898.89
   0.62000       1961.39
   0.64000       2023.60
   0.66000       2085.88
   0.68000       2147.68
   0.70000       2209.62
   0.72000       2271.56
   0.74000       2333.39
   0.76000       2394.99
   0.78000       2456.05
   0.80000       2516.87
   0.82000       2576.75
   0.84000       2623.91
   0.86000       2651.36
   0.88000       2671.77
   0.90000       2702.58
   0.92000       2741.09
   0.94000       2750.84
   0.96000       2593.87
   0.98000       2406.07
    1.0000       2239.48

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   08:24:47  JAN 10, 2022 CP=   5531.062

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5939 FX
                  FX
    1.0200       1989.76
    1.0400       1601.05
    1.0600       1316.01
    1.0800       1085.07
    1.1000       890.071
    1.1200       591.932
    1.1400       393.869
    1.1600       339.891
    1.1800       300.545
    1.2000       277.123
    1.2200       259.510
    1.2400       241.878
    1.2600       229.887
    1.2800       221.973
    1.3000       211.608
    1.3200       198.445
    1.3400       186.241
    1.3600       168.449
    1.3800       122.742
    1.4000       39.5302
    1.4200       11.7172
    1.4400       11.3886
    1.4600       10.8984
    1.4800       10.0125
    1.5000       9.75625
    1.5200       9.52531
    1.5400       9.65052
    1.5600       9.77583
    1.5800       9.88683
    1.6000       9.78967
    1.6200       9.89642
    1.6400       10.0186
    1.6600       10.1408
    1.6800       10.2629
    1.7000       10.3849
    1.7200       10.5070
    1.7400       10.6292
    1.7600       10.7514
    1.7800       10.8364
    1.8000       10.9511
    1.8200       10.9840
    1.8400       11.1047
    1.8600       10.9568
    1.8800       10.7502
    1.9000       10.7929
    1.9200       10.6385
    1.9400       10.6245
    1.9600       10.7198
    1.9800       10.8282
    1.9900       10.7786

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   08:24:47  JAN 10, 2022 CP=   5531.062

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5939 FX
                  FX
    1.9950       10.7315
    1.9970       10.5903
    1.9985       9.98250
    2.0000       9.98977
