
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   0.20000E-01   40.1792     
   0.40000E-01   80.3583     
   0.60000E-01   120.537     
   0.80000E-01   160.717     
   0.10000       200.896     
   0.12000       241.075     
   0.14000       281.254     
   0.16000       321.433     
   0.18000       361.612     
   0.20000       401.792     
   0.22000       441.971     
   0.24000       482.150     
   0.26000       522.329     
   0.28000       562.508     
   0.30000       602.687     
   0.32000       642.866     
   0.34000       683.046     
   0.36000       723.225     
   0.38000       763.404     
   0.40000       803.583     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   0.42000       843.762     
   0.44000       883.941     
   0.46000       924.120     
   0.48000       964.300     
   0.50000       1004.48     
   0.52000       1044.66     
   0.54000       1084.84     
   0.56000       1125.02     
   0.58000       1165.20     
   0.60000       1205.37     
   0.62000       1245.55     
   0.64000       1285.73     
   0.66000       1325.91     
   0.68000       1366.09     
   0.70000       1406.27     
   0.72000       1446.45     
   0.74000       1486.63     
   0.76000       1526.81     
   0.78000       1566.99     
   0.80000       1607.17     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   0.82000       1647.35     
   0.84000       1687.52     
   0.86000       1727.70     
   0.88000       1767.88     
   0.90000       1808.06     
   0.92000       1848.24     
   0.94000       1888.42     
   0.96000       1928.60     
   0.98000       1968.78     
    1.0000       2008.96     
    1.0200       2049.14     
    1.0400       2089.32     
    1.0600       2129.50     
    1.0800       2169.67     
    1.1000       2209.85     
    1.1200       2250.03     
    1.1400       2290.21     
    1.1600       2330.39     
    1.1800       2370.57     
    1.2000       2410.75     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
    1.2200       2450.93     
    1.2400       2491.11     
    1.2600       2060.16     
    1.2800       2092.86     
    1.3000       2125.56     
    1.3200       2158.04     
    1.3400       2190.15     
    1.3600       2222.23     
    1.3800       2254.81     
    1.4000       2285.95     
    1.4200       2307.91     
    1.4400       2292.57     
    1.4600       2172.15     
    1.4800       1856.07     
    1.5000       1652.78     
    1.5200       1414.62     
    1.5400       1043.62     
    1.5600       308.610     
    1.5800       69.2468     
    1.6000       28.8474     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
    1.6200       21.2122     
    1.6400       18.6427     
    1.6600       18.8307     
    1.6800       18.8869     
    1.7000       18.1771     
    1.7200       17.8451     
    1.7400       17.9462     
    1.7600       18.1525     
    1.7800       18.3588     
    1.8000       18.5651     
    1.8200       18.7710     
    1.8400       18.9752     
    1.8600       19.1764     
    1.8800       19.3826     
