STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR   16388 FX        FX         55.19       2.000       3717.       1.220

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:21:52  JAN 28, 2022 CP=  30633.906

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   0.20000E-01   61.7650
   0.40000E-01   123.530
   0.60000E-01   185.295
   0.80000E-01   247.060
   0.10000       308.825
   0.12000       370.590
   0.14000       432.355
   0.16000       494.119
   0.18000       555.883
   0.20000       617.640
   0.22000       679.398
   0.24000       741.147
   0.26000       802.879
   0.28000       864.571
   0.30000       926.127
   0.32000       987.529
   0.34000       1048.69
   0.36000       1110.03
   0.38000       1171.49
   0.40000       1232.97
   0.42000       1294.45
   0.44000       1355.91
   0.46000       1417.36
   0.48000       1478.80
   0.50000       1540.22
   0.52000       1601.62
   0.54000       1663.01
   0.56000       1724.38
   0.58000       1785.68
   0.60000       1846.97
   0.62000       1908.19
   0.64000       1969.39
   0.66000       2030.51
   0.68000       2091.60
   0.70000       2152.67
   0.72000       2213.69
   0.74000       2274.69
   0.76000       2335.73
   0.78000       2396.76
   0.80000       2457.66
   0.82000       2518.46
   0.84000       2579.31
   0.86000       2639.91
   0.88000       2700.51
   0.90000       2761.04
   0.92000       2821.49
   0.94000       2881.90
   0.96000       2942.07
   0.98000       3002.20
    1.0000       3062.48

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:21:52  JAN 28, 2022 CP=  30633.906

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.0200       3122.71
    1.0400       3183.03
    1.0600       3243.11
    1.0800       3303.18
    1.1000       3363.28
    1.1200       3422.92
    1.1400       3482.51
    1.1600       3541.78
    1.1800       3600.49
    1.2000       3659.29
    1.2200       3717.03
    1.2400       3713.76
    1.2600       3243.11
    1.2800       2141.19
    1.3000       1560.94
    1.3200       947.823
    1.3400       814.812
    1.3600       714.577
    1.3800       541.243
    1.4000       301.531
    1.4200       211.631
    1.4400       185.030
    1.4600       162.094
    1.4800       149.306
    1.5000       143.263
    1.5200       135.236
    1.5400       127.272
    1.5600       120.941
    1.5800       114.067
    1.6000       105.029
    1.6200       98.8485
    1.6400       93.8910
    1.6600       88.7783
    1.6800       85.1944
    1.7000       82.1083
    1.7200       79.2190
    1.7400       77.0564
    1.7600       75.5723
    1.7800       74.5100
    1.8000       73.5587
    1.8200       72.8803
    1.8400       72.5832
    1.8600       72.2993
    1.8800       71.7632
    1.9000       71.8087
    1.9200       71.5767
    1.9400       70.9365
    1.9600       68.0949
    1.9800       64.7883
    1.9890       64.1152

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:21:52  JAN 28, 2022 CP=  30633.906

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.9945       60.8361
    1.9965       60.0258
    1.9983       57.2537
    2.0000       55.1927
