STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR   18980 FX        FX         29.12       2.000       2254.       1.020

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:58:11  JAN 25, 2022 CP=  20009.672

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   0.20000E-01   46.7562
   0.40000E-01   93.5124
   0.60000E-01   140.269
   0.80000E-01   187.025
   0.10000       233.781
   0.12000       280.537
   0.14000       327.293
   0.16000       374.050
   0.18000       420.806
   0.20000       467.562
   0.22000       514.318
   0.24000       561.075
   0.26000       607.831
   0.28000       654.587
   0.30000       701.343
   0.32000       748.089
   0.34000       794.832
   0.36000       841.586
   0.38000       888.332
   0.40000       935.076
   0.42000       981.800
   0.44000       1028.55
   0.46000       1075.28
   0.48000       1121.99
   0.50000       1168.57
   0.52000       1215.07
   0.54000       1261.35
   0.56000       1307.45
   0.58000       1353.13
   0.60000       1397.97
   0.62000       1441.90
   0.64000       1482.68
   0.66000       1519.93
   0.68000       1563.34
   0.70000       1607.27
   0.72000       1651.34
   0.74000       1695.89
   0.76000       1740.16
   0.78000       1784.69
   0.80000       1828.53
   0.82000       1872.34
   0.84000       1915.54
   0.86000       1958.89
   0.88000       2002.17
   0.90000       2045.45
   0.92000       2088.61
   0.94000       2131.92
   0.96000       2174.21
   0.98000       2212.63
    1.0000       2242.83

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:58:11  JAN 25, 2022 CP=  20009.672

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.0200       2253.66
    1.0400       2229.74
    1.0600       2182.33
    1.0800       2096.47
    1.1000       1906.05
    1.1200       1587.24
    1.1400       1300.24
    1.1600       935.218
    1.1800       628.923
    1.2000       459.869
    1.2200       389.803
    1.2400       346.069
    1.2600       304.615
    1.2800       261.838
    1.3000       218.622
    1.3200       150.281
    1.3400       120.506
    1.3600       88.3419
    1.3800       76.0498
    1.4000       66.2349
    1.4200       59.9153
    1.4400       54.6430
    1.4600       50.7216
    1.4800       47.6719
    1.5000       46.1449
    1.5200       43.9074
    1.5400       42.5164
    1.5600       41.0372
    1.5800       40.1515
    1.6000       38.7776
    1.6200       36.7967
    1.6400       35.7688
    1.6600       35.2230
    1.6800       34.8862
    1.7000       33.6316
    1.7200       33.2995
    1.7400       32.4044
    1.7600       31.5766
    1.7800       31.0691
    1.8000       30.5971
    1.8200       30.5393
    1.8400       30.3761
    1.8600       29.7962
    1.8800       29.6330
    1.9000       29.4861
    1.9200       29.3964
    1.9400       29.5080
    1.9600       29.7493
    1.9800       29.7567
    1.9900       29.7924

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:58:11  JAN 25, 2022 CP=  20009.672

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.9950       29.7859
    1.9970       29.6668
    1.9985       29.2742
    2.0000       29.1196
