
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.20000E-01   46.4722     
   0.40000E-01   92.9445     
   0.60000E-01   139.417     
   0.80000E-01   185.889     
   0.10000       232.361     
   0.12000       278.833     
   0.14000       325.305     
   0.16000       371.777     
   0.18000       418.247     
   0.20000       464.713     
   0.22000       511.165     
   0.24000       557.576     
   0.26000       603.930     
   0.28000       650.229     
   0.30000       696.352     
   0.32000       742.445     
   0.34000       788.733     
   0.36000       835.021     
   0.38000       881.293     
   0.40000       927.527     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.42000       973.794     
   0.44000       1020.02     
   0.46000       1066.22     
   0.48000       1112.41     
   0.50000       1158.54     
   0.52000       1204.68     
   0.54000       1250.81     
   0.56000       1296.93     
   0.58000       1343.02     
   0.60000       1389.01     
   0.62000       1434.98     
   0.64000       1480.89     
   0.66000       1526.66     
   0.68000       1572.37     
   0.70000       1617.94     
   0.72000       1663.53     
   0.74000       1708.69     
   0.76000       1753.61     
   0.78000       1798.14     
   0.80000       1842.18     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.82000       1886.35     
   0.84000       1929.79     
   0.86000       1972.06     
   0.88000       2011.94     
   0.90000       2044.03     
   0.92000       1982.18     
   0.94000       1951.40     
   0.96000       1978.90     
   0.98000       2011.63     
    1.0000       2045.07     
    1.0200       2074.14     
    1.0400       2086.31     
    1.0600       2055.57     
    1.0800       1984.41     
    1.1000       1894.94     
    1.1200       1791.46     
    1.1400       1568.85     
    1.1600       1258.67     
    1.1800       1012.56     
    1.2000       695.487     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
    1.2200       474.811     
    1.2400       348.334     
    1.2600       200.910     
    1.2800       109.919     
    1.3000       75.5778     
    1.3200       55.3056     
    1.3400       46.4673     
    1.3600       38.0477     
    1.3800       30.0718     
    1.4000       27.4045     
    1.4200       26.8441     
    1.4400       26.9733     
    1.4600       27.3374     
    1.4800       27.6421     
    1.5000       27.9986     
    1.5200       28.1114     
    1.5400       27.4036     
    1.5600       27.5504     
    1.5800       27.5267     
    1.6000       27.6385     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
    1.6200       27.9635     
    1.6400       28.0339     
    1.6600       28.1523     
    1.6800       28.4512     
    1.7000       28.6757     
    1.7200       28.8032     
    1.7400       28.7317     
    1.7600       28.9348     
    1.7800       29.1685     
    1.8000       29.3433     
