
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.20000E-01   70.5186     
   0.40000E-01   141.037     
   0.60000E-01   211.556     
   0.80000E-01   282.075     
   0.10000       352.593     
   0.12000       423.112     
   0.14000       493.630     
   0.16000       564.149     
   0.18000       634.668     
   0.20000       705.186     
   0.22000       775.705     
   0.24000       846.224     
   0.26000       916.701     
   0.28000       987.088     
   0.30000       1057.39     
   0.32000       1127.66     
   0.34000       1197.60     
   0.36000       1267.17     
   0.38000       1335.88     
   0.40000       1402.76     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.42000       1466.79     
   0.44000       1531.17     
   0.46000       1598.52     
   0.48000       1665.62     
   0.50000       1733.60     
   0.52000       1801.04     
   0.54000       1868.41     
   0.56000       1934.85     
   0.58000       2000.63     
   0.60000       2066.84     
   0.62000       2133.32     
   0.64000       2199.64     
   0.66000       2265.90     
   0.68000       2332.32     
   0.70000       2398.20     
   0.72000       2463.54     
   0.74000       2528.36     
   0.76000       2591.10     
   0.78000       2641.46     
   0.80000       2652.34     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.82000       2580.01     
   0.84000       2351.00     
   0.86000       1670.35     
   0.88000       1233.07     
   0.90000       1069.82     
   0.92000       951.920     
   0.94000       844.592     
   0.96000       751.485     
   0.98000       634.970     
    1.0000       508.485     
    1.0200       389.487     
    1.0400       310.256     
    1.0600       247.772     
    1.0800       188.157     
    1.1000       130.405     
    1.1200       91.9269     
    1.1400       84.3867     
    1.1600       79.5620     
    1.1800       77.5806     
    1.2000       75.7460     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
    1.2200       73.5326     
    1.2400       70.6807     
    1.2600       69.0999     
    1.2800       67.1950     
    1.3000       64.3321     
    1.3200       62.3587     
