STORAGE COMPLETE FOR    102 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR   14013 FX        FX         41.35       2.000       2630.      0.7200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:16:55  FEB 05, 2022 CP=  17142.734

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   0.20000E-01   78.7485
   0.40000E-01   157.497
   0.60000E-01   236.245
   0.80000E-01   314.994
   0.10000       393.742
   0.12000       472.491
   0.14000       551.239
   0.16000       629.988
   0.18000       708.736
   0.20000       787.471
   0.22000       866.177
   0.24000       944.884
   0.26000       1023.56
   0.28000       1102.18
   0.30000       1180.68
   0.32000       1258.89
   0.34000       1336.78
   0.36000       1414.12
   0.38000       1490.31
   0.40000       1563.98
   0.42000       1632.71
   0.44000       1695.03
   0.46000       1766.73
   0.48000       1839.26
   0.50000       1912.50
   0.52000       1985.55
   0.54000       2058.42
   0.56000       2130.96
   0.58000       2202.81
   0.60000       2275.02
   0.62000       2345.95
   0.64000       2415.62
   0.66000       2486.51
   0.68000       2555.07
   0.70000       2610.42
   0.72000       2629.66
   0.74000       2596.86
   0.76000       2522.36
   0.78000       2432.79
   0.80000       2108.43
   0.82000       1759.90
   0.84000       1481.13
   0.86000       987.002
   0.88000       715.213
   0.90000       518.406
   0.92000       363.179
   0.94000       218.443
   0.96000       162.886
   0.98000       131.870
    1.0000       111.686

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:16:55  FEB 05, 2022 CP=  17142.734

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.0200       103.296
    1.0400       100.442
    1.0600       99.2269
    1.0800       98.6040
    1.1000       97.0635
    1.1200       95.1857
    1.1400       91.0736
    1.1600       87.9019
    1.1800       85.0442
    1.2000       82.9972
    1.2200       81.2543
    1.2400       79.4749
    1.2600       78.9450
    1.2800       77.5289
    1.3000       76.1319
    1.3200       73.5961
    1.3400       73.1267
    1.3600       72.2811
    1.3800       72.4790
    1.4000       72.4076
    1.4200       71.3993
    1.4400       70.3961
    1.4600       70.5669
    1.4800       70.5837
    1.5000       69.9104
    1.5200       68.6528
    1.5400       68.4200
    1.5600       66.8651
    1.5800       66.2607
    1.6000       66.1040
    1.6200       65.4722
    1.6400       63.3657
    1.6600       60.5406
    1.6800       59.1384
    1.7000       57.4845
    1.7200       56.3560
    1.7400       55.2662
    1.7600       54.6834
    1.7800       53.5826
    1.8000       52.6462
    1.8200       51.9896
    1.8400       50.7859
    1.8600       49.8173
    1.8800       48.6083
    1.9000       47.1403
    1.9200       46.1503
    1.9400       45.7470
    1.9600       45.2782
    1.9800       44.4090
    1.9900       44.1144

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   05:16:55  FEB 05, 2022 CP=  17142.734

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.9950       43.8428
    2.0000       41.3526
