STORAGE COMPLETE FOR    102 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR      53 FX        FX         24.07       3.500       2256.       2.870

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:53:20  FEB 06, 2022 CP=  17614.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         53 FX
                  FX
   0.35000E-01   28.7564
   0.70000E-01   57.5128
   0.10500       86.2692
   0.14000       115.026
   0.17500       143.782
   0.21000       172.538
   0.24500       201.295
   0.28000       230.051
   0.31500       258.808
   0.35000       287.564
   0.38500       316.321
   0.42000       345.077
   0.45500       373.833
   0.49000       402.590
   0.52500       431.344
   0.56000       460.098
   0.59500       488.854
   0.63000       517.608
   0.66500       546.360
   0.70000       575.114
   0.73500       603.868
   0.77000       632.621
   0.80500       661.368
   0.84000       690.116
   0.87500       718.865
   0.91000       747.610
   0.94500       776.352
   0.98000       805.084
    1.0150       833.798
    1.0500       862.479
    1.0850       891.108
    1.1200       919.678
    1.1550       948.218
    1.1900       976.608
    1.2250       1004.91
    1.2600       1032.97
    1.2950       1060.61
    1.3300       1087.51
    1.3650       1114.04
    1.4000       1140.94
    1.4350       1168.21
    1.4700       1195.74
    1.5050       1223.67
    1.5400       1251.80
    1.5750       1279.95
    1.6100       1308.07
    1.6450       1336.12
    1.6800       1364.18
    1.7150       1392.31
    1.7500       1420.39

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:53:20  FEB 06, 2022 CP=  17614.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         53 FX
                  FX
    1.7850       1448.28
    1.8200       1476.20
    1.8550       1504.17
    1.8900       1532.14
    1.9250       1560.12
    1.9600       1588.08
    1.9950       1615.78
    2.0300       1643.56
    2.0650       1671.28
    2.1000       1698.90
    2.1350       1726.43
    2.1700       1753.98
    2.2050       1781.37
    2.2400       1808.79
    2.2750       1836.28
    2.3100       1863.64
    2.3450       1891.12
    2.3800       1918.74
    2.4150       1946.33
    2.4500       1973.94
    2.4850       2001.48
    2.5200       2028.80
    2.5550       2056.01
    2.5900       2082.74
    2.6250       2109.36
    2.6600       2135.81
    2.6950       2161.93
    2.7300       2187.71
    2.7650       2212.99
    2.8000       2236.16
    2.8350       2254.26
    2.8700       2255.78
    2.9050       2220.56
    2.9400       2112.39
    2.9750       1759.91
    3.0100       1417.01
    3.0450       1156.24
    3.0800       876.950
    3.1150       603.957
    3.1500       392.403
    3.1850       241.976
    3.2200       149.220
    3.2550       90.4388
    3.2900       52.2569
    3.3250       34.2646
    3.3600       29.2608
    3.3950       26.9871
    3.4300       26.2337
    3.4650       25.9899
    3.4825       26.0478

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:53:20  FEB 06, 2022 CP=  17614.641

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         53 FX
                  FX
    3.4913       26.0238
    3.5000       24.0675
