STORAGE COMPLETE FOR    102 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR   983 FX        FX       -0.8784E-06 0.2700      753.1     0.3000E-01

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   10:31:29  NOV 18, 2021 CP=   1979.406

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        983 FX
                  FX
  0.15000E-01     378.046
  0.30000E-01     753.140
  0.45000E-01     1.02537
  0.60000E-01    0.836720E-01
  0.75000E-01    0.161774E-02
  0.90000E-01    0.639120E-03
  0.10500        0.165140E-05
  0.12000        0.357320E-10
  0.13500        0.116958E-09
  0.15000        0.361212E-10
  0.16500        0.520662E-11
  0.18000        0.589370E-11
  0.19500       -0.498627E-12
  0.21000       -0.578432E-11
  0.22500       -0.117217E-06
  0.24000        0.132128E-07
  0.25500        0.184861E-06
  0.27000       -0.878394E-06
  0.28500        0.100512E-05
  0.30000       -0.693814E-06
  0.31500        0.100372E-06
  0.33000       -0.108888E-06
  0.34500       -0.547592E-07
  0.36000       -0.250233E-07
  0.37500        0.278284E-06
  0.39000       -0.558003E-06
  0.40500        0.672141E-06
  0.42000       -0.259299E-06
  0.43500        0.283847E-06
  0.45000       -0.551771E-06
  0.46500        0.245511E-06
  0.48000       -0.102846E-07
  0.49500       -0.307303E-08
  0.51000        0.477521E-08
  0.52500        0.498896E-08
  0.54000        0.597531E-08
  0.55500       -0.296015E-08
  0.57000       -0.119116E-07
  0.58500        0.940723E-09
  0.60000       -0.632830E-09
  0.61500       -0.495419E-08
  0.63000       -0.746670E-07
  0.64500        0.202674E-07
  0.66000       -0.161578E-08
  0.67500       -0.346022E-08
  0.69000        0.246977E-08
  0.70500       -0.253461E-08
  0.72000        0.210528E-08
  0.73500        0.516818E-09
  0.75000        0.401370E-09

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   10:31:29  NOV 18, 2021 CP=   1979.406

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        983 FX
                  FX
  0.76500        0.583319E-09
  0.78000        0.453262E-09
  0.79500       -0.112460E-09
  0.81000       -0.752041E-08
  0.82500       -0.427103E-09
  0.84000        0.342922E-09
  0.85500       -0.581106E-09
  0.87000        0.361583E-09
  0.88500        0.258369E-09
  0.90000       -0.127147E-08
  0.91500       -0.376734E-10
  0.93000       -0.393544E-08
  0.94500       -0.169831E-07
  0.96000       -0.356937E-08
  0.97500       -0.312711E-08
  0.99000       -0.509362E-09
   1.0050       -0.148093E-08
   1.0200       -0.399516E-08
   1.0350        0.137742E-07
   1.0500        0.127548E-06
   1.0650        0.479484E-07
   1.0800       -0.319996E-07
   1.0950       -0.155754E-07
   1.1100        0.302560E-08
   1.1250       -0.445001E-08
   1.1400       -0.136877E-09
   1.1550       -0.474901E-08
   1.1700       -0.505724E-08
   1.1850       -0.112210E-07
   1.2000        0.205806E-07
   1.2150        0.370498E-08
   1.2300       -0.120732E-08
   1.2450       -0.354369E-08
   1.2600        0.113128E-07
   1.2750       -0.128498E-08
   1.2900       -0.573998E-09
   1.3050       -0.380344E-09
   1.3200        0.211682E-08
   1.3275        0.454886E-07
   1.3350        0.323876E-07
   1.3462       -0.377287E-07
   1.3612        0.334880E-07
   1.3762       -0.842778E-08
   1.3912       -0.298756E-08
   1.4062       -0.802545E-09
   1.4212       -0.575352E-09
   1.4362        0.834419E-09
   1.4512       -0.688766E-08
   1.4662       -0.578770E-09
   1.4812        0.848177E-08

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   10:31:29  NOV 18, 2021 CP=   1979.406

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        983 FX
                  FX
   1.4906       -0.102957E-07
   1.5000        0.279290E-08
