STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR     6 FX        FX         18.13       1.360       2292.       1.140

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   12:07:50  JAN 07, 2022 CP=   4188.891

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          6 FX
                  FX
   0.20000E-01   41.5079
   0.40000E-01   83.0158
   0.60000E-01   124.524
   0.80000E-01   166.032
   0.10000       207.540
   0.12000       249.048
   0.14000       290.555
   0.16000       332.063
   0.18000       373.571
   0.20000       415.079
   0.22000       456.587
   0.24000       498.095
   0.26000       539.603
   0.28000       581.111
   0.30000       622.619
   0.32000       664.127
   0.34000       705.635
   0.36000       747.143
   0.38000       788.651
   0.40000       830.158
   0.42000       871.666
   0.44000       913.174
   0.46000       954.682
   0.48000       996.190
   0.50000       1037.70
   0.52000       1079.21
   0.54000       1120.71
   0.56000       1162.22
   0.58000       1203.73
   0.60000       1245.24
   0.62000       1286.75
   0.64000       1328.25
   0.66000       1369.76
   0.68000       1411.27
   0.70000       1452.78
   0.72000       1494.29
   0.74000       1535.79
   0.76000       1577.30
   0.78000       1618.81
   0.80000       1660.32
   0.82000       1701.82
   0.84000       1743.33
   0.86000       1784.84
   0.88000       1826.31
   0.90000       1867.47
   0.92000       1906.96
   0.94000       1942.98
   0.96000       1975.94
   0.98000       2006.71
    1.0000       2035.27

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   12:07:50  JAN 07, 2022 CP=   4188.891

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          6 FX
                  FX
    1.0200       2071.50
    1.0400       2108.24
    1.0600       2147.18
    1.0800       2187.14
    1.1000       2226.74
    1.1200       2266.42
    1.1400       2291.95
    1.1600       1784.82
    1.1800       1393.84
    1.2000       1262.12
    1.2200       1170.34
    1.2400       1053.25
    1.2600       882.240
    1.2800       571.148
    1.3000       223.186
    1.3200       32.6332
    1.3400       18.8502
    1.3600       18.1332
    1.3800       18.2710
    1.4000       18.4260
    1.4200       18.6893
    1.4400       18.9482
    1.4600       19.1536
    1.4800       19.3691
    1.5000       18.3365
    1.5200       18.3003
    1.5400       18.5411
    1.5600       18.7819
    1.5800       18.9864
    1.6000       19.1344
    1.6200       19.2886
    1.6400       19.4439
    1.6600       19.6298
    1.6800       19.8400
    1.7000       19.9826
    1.7200       20.1631
    1.7400       20.3963
    1.7600       20.6307
    1.7800       20.6927
    1.8000       20.8736
    1.8200       20.9845
    1.8400       20.6368
    1.8600       20.6176
    1.8800       20.5945
    1.9000       20.6321
    1.9200       20.8311
    1.9400       21.0448
    1.9600       21.2113
    1.9800       20.9562
    1.9900       21.0379

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   12:07:50  JAN 07, 2022 CP=   4188.891

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          6 FX
                  FX
    1.9950       20.8418
    1.9970       20.4852
    1.9985       19.6214
    2.0000       19.0510
