STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1075 FX        FX         17.76       2.000       1469.      0.7000

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   03:49:59  JAN 08, 2022 CP=   2411.234

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1075 FX
                  FX
   0.20000E-01   44.0363
   0.40000E-01   88.0726
   0.60000E-01   132.109
   0.80000E-01   176.145
   0.10000       220.182
   0.12000       264.218
   0.14000       308.254
   0.16000       352.290
   0.18000       396.327
   0.20000       440.363
   0.22000       484.399
   0.24000       528.436
   0.26000       572.472
   0.28000       616.508
   0.30000       660.545
   0.32000       704.581
   0.34000       748.617
   0.36000       792.654
   0.38000       836.690
   0.40000       880.726
   0.42000       924.762
   0.44000       968.799
   0.46000       1012.84
   0.48000       1056.87
   0.50000       1100.91
   0.52000       1144.94
   0.54000       1188.98
   0.56000       1233.02
   0.58000       1277.05
   0.60000       1320.99
   0.62000       1362.83
   0.64000       1398.42
   0.66000       1431.68
   0.68000       1459.59
   0.70000       1469.09
   0.72000       1427.28
   0.74000       1393.98
   0.76000       1365.28
   0.78000       1317.87
   0.80000       1286.16
   0.82000       1244.90
   0.84000       1217.21
   0.86000       1195.28
   0.88000       1176.74
   0.90000       1134.76
   0.92000       1069.04
   0.94000       853.229
   0.96000       424.804
   0.98000       173.032
    1.0000       73.9527

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   03:49:59  JAN 08, 2022 CP=   2411.234

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1075 FX
                  FX
    1.0200       55.9668
    1.0400       47.6302
    1.0600       34.7830
    1.0800       31.1978
    1.1000       28.1760
    1.1200       27.6491
    1.1400       26.9327
    1.1600       24.4538
    1.1800       22.1145
    1.2000       21.1792
    1.2200       21.1709
    1.2400       20.1752
    1.2600       20.4375
    1.2800       20.7619
    1.3000       20.6912
    1.3200       21.0092
    1.3400       20.9315
    1.3600       20.0184
    1.3800       20.3128
    1.4000       20.6071
    1.4200       20.9015
    1.4400       21.1959
    1.4600       21.4903
    1.4800       21.7431
    1.5000       22.0359
    1.5200       22.3297
    1.5400       22.3613
    1.5600       21.7928
    1.5800       21.4001
    1.6000       21.3166
    1.6200       20.1767
    1.6400       19.8203
    1.6600       20.0135
    1.6800       20.2535
    1.7000       20.3969
    1.7200       20.6368
    1.7400       20.8493
    1.7600       20.8177
    1.7800       21.0543
    1.8000       20.9798
    1.8200       21.2057
    1.8400       21.0723
    1.8600       20.4870
    1.8800       20.4122
    1.9000       19.9545
    1.9200       19.9688
    1.9400       19.6422
    1.9600       18.2760
    1.9800       18.3924
    1.9900       18.4481

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   03:49:59  JAN 08, 2022 CP=   2411.234

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1075 FX
                  FX
    1.9950       18.0764
    1.9970       17.9016
    1.9985       17.7636
    2.0000       17.7622
